id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
71016631,RP_050725_03_A12,21801,Trh,thyrotropin releasing hormone,22044,6,coronal,n/a,2.636,1143.066,9377.998,94,2033
234,RP_Baylor_102674,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,2.419,1126.785,10052.590,94,2029
1026,RP_Baylor_103054,20742,Syt3,synaptotagmin III,20981,7,coronal,n/a,2.349,779.350,7176.885,94,2033
67881545,RP_041018_01_E02,19490,Rfxank,regulatory factor X-associated ankyrin-containing protein,19727,8,coronal,n/a,2.058,839.949,8700.991,94,2004
75038402,RP_051206_02_A01,17922,Pnoc,prepronociceptin,18155,14,coronal,n/a,2.022,485.538,6805.188,65,1842
70743844,RP_050610_01_A01,87854,Cpne2,copine II,234577,8,coronal,n/a,1.958,945.369,10444.777,94,2033
74724739,RP_060220_04_B02,14579,Grid1,"glutamate receptor, ionotropic, delta 1",14803,14,coronal,n/a,1.942,636.632,7445.878,78,1772
73992916,RP_051214_01_F08,19181,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,19418,13,coronal,n/a,1.940,672.758,7499.692,94,2033
170,RP_Baylor_103000,19410,Rbbp6,retinoblastoma binding protein 6,19647,7,coronal,n/a,1.933,845.997,9169.259,94,1969
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.902,1396.557,15775.811,94,2020
321204,RP_040617_01_C07,19987,Sar1a,SAR1 gene homolog A (S. cerevisiae),20224,10,coronal,n/a,1.855,819.616,9558.157,94,2033
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.846,2556.488,29442.742,94,1998
75146000,RP_060220_02_B06,47574,Susd2,sushi domain containing 2,71733,10,coronal,n/a,1.842,521.129,7347.461,70,1818
72080207,RP_051017_03_D04,20306,Slc9a1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1",20544,4,coronal,n/a,1.818,853.281,9459.122,92,1854
72338724,RP_051101_01_C06,120058,LOC381076,"gene model 937, (NCBI)",381076,17,coronal,n/a,1.795,1420.819,17122.529,94,2033
544328,RP_040625_01_H06,69818,Phyhip,phytanoyl-CoA hydroxylase interacting protein,105653,14,coronal,n/a,1.789,671.713,8120.326,94,2033
2167,RP_Baylor_102792,14133,Dtx1,deltex 1 homolog (Drosophila),14357,5,coronal,n/a,1.784,796.729,9145.872,94,1925
70231306,RP_050301_01_C10,12190,Cbln2,cerebellin 2 precursor protein,12405,18,coronal,n/a,1.778,935.050,11373.686,94,2033
2691,RP_040420_01_A11,21787,Traf2,TNF receptor-associated factor 2,22030,2,coronal,n/a,1.748,776.703,9182.032,94,1943
73788105,RP_051213_01_A11,20324,Slit1,slit homolog 1 (Drosophila),20562,19,coronal,n/a,1.715,1116.157,14078.070,94,2033
