id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
74641326,RP_060220_02_F03,12489,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,12705,X,coronal,n/a,8.696,301.957,2556.751,27,1988
71920512,RP_051017_02_G05,16192,Itgb5,integrin beta 5,16419,16,coronal,n/a,8.525,234.991,1909.223,27,1870
1500,RP_Baylor_102796,14143,Fzd5,frizzled homolog 5 (Drosophila),14367,1,coronal,n/a,6.342,202.400,2798.578,23,2017
73718576,RP_050927_02_A01,12011,Btg1,"B cell translocation gene 1, anti-proliferative",12226,10,coronal,n/a,6.084,205.500,2543.423,27,2033
71249057,RP_050407_03_F09,22391,Plagl1,pleiomorphic adenoma gene-like 1,22634,10,coronal,n/a,5.981,269.327,3177.272,27,1905
276069,RP_040609_01_C01,43039,Ube2t,ubiquitin-conjugating enzyme E2T (putative),67196,1,coronal,n/a,5.930,222.746,2828.324,27,2033
2493,RP_Baylor_102974,18739,Pomc,pro-opiomelanocortin-alpha,18976,12,coronal,n/a,5.894,246.170,3259.546,26,2029
75749417,RP_060606_03_A01,14180,Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,X,coronal,n/a,5.583,251.146,3387.267,27,2033
73931625,RP_051214_04_A05,37280,Chst11,carbohydrate sulfotransferase 11,58250,10,coronal,n/a,5.381,223.998,3134.568,27,2033
70813929,RP_050725_02_F07,41901,Tmem176a,transmembrane protein 176A,66058,6,coronal,n/a,5.184,115.976,2814.265,14,1761
71358591,RP_050725_03_E12,41756,Asb4,ankyrin repeat and SOCS box-containing 4,65255,6,coronal,n/a,4.781,226.965,3574.793,27,2033
72077479,RP_051017_03_B03,26965,Cartpt,CART prepropeptide,27220,13,coronal,n/a,4.593,279.649,5403.788,21,1864
76135830,RP_060518_01_B03,62168,Deptor,DEP domain containing MTOR-interacting protein,97998,15,coronal,n/a,4.487,243.376,3871.856,23,1642
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,4.392,366.950,6290.307,27,2033
