id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,5.783,286.409,7829.876,11,1739
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,5.410,184.143,6290.307,11,2033
73519705,RP_050915_03_G11,14700,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",14924,6,coronal,n/a,4.756,116.177,3421.781,11,1541
79591671,RP_071204_04_G06,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,3.513,99.695,4926.952,11,1910
74819258,RP_060315_02_D10,30273,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,50785,1,coronal,n/a,3.507,85.141,4486.821,11,2033
74581441,RP_060220_04_H02,88955,Palm2,paralemmin 2,242481,4,coronal,n/a,3.346,77.029,3930.297,11,1878
74511849,RP_060220_03_B10,43708,Rgs10,regulator of G-protein signalling 10,67865,7,coronal,n/a,3.278,117.376,6616.870,11,2033
890,RP_Baylor_103002,19462,Reln,reelin,19699,5,coronal,n/a,3.263,94.605,5358.599,11,2033
793,RP_Baylor_102956,18393,Per2,period homolog 2 (Drosophila),18627,1,coronal,n/a,3.139,140.245,8257.090,11,2033
74274689,RP_050927_04_E12,46078,Bhlhb9,"basic helix-loop-helix domain containing, class B9",70237,X,coronal,n/a,2.975,97.500,5500.687,11,1846
323588,RP_040609_01_G01,16636,Eif2d,eukaryotic translation initiation factor 2D,16865,1,coronal,n/a,2.810,50.493,5436.127,6,1815
74988710,RP_060315_04_A09,14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,6,coronal,n/a,2.647,126.056,7952.493,11,1837
67870081,RP_041018_01_C05,70000,Sgsm3,small G protein signaling modulator 3,105835,15,coronal,n/a,2.606,97.548,6412.115,11,1884
76135815,RP_060711_03_C05,83924,Pknox2,Pbx/knotted 1 homeobox 2,208076,9,coronal,n/a,2.476,87.820,6254.665,11,1940
70612726,RP_050725_01_C04,30401,Galns,galactosamine (N-acetyl)-6-sulfate sulfatase,50917,8,coronal,n/a,2.213,101.012,8424.609,11,2030
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,2.138,84.421,7297.173,11,2033
1504,RP_040420_01_E06,35214,Hes6,hairy and enhancer of split 6 (Drosophila),55927,1,coronal,n/a,2.123,155.029,13497.463,11,2033
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,2.086,84.994,7531.652,11,2033
74819690,RP_060315_02_H06,12541,Clta,"clathrin, light polypeptide (Lca)",12757,4,coronal,n/a,2.030,221.476,20167.857,11,2033
795,RP_Baylor_102958,18407,Pfkl,"phosphofructokinase, liver, B-type",18641,10,coronal,n/a,2.029,89.104,8114.960,11,2033
293463,RP_040604_02_F11,32197,Anapc16,anaphase promoting complex subunit 16,52717,10,coronal,n/a,1.902,152.264,14391.915,11,1978
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,1.899,133.335,12088.510,11,1894
275874,RP_040604_02_F08,35638,Copz2,"coatomer protein complex, subunit zeta 2",56358,11,coronal,n/a,1.899,69.847,13566.208,5,1844
713,RP_Baylor_102935,17881,Rrp1,ribosomal RNA processing 1 homolog (S. cerevisiae),18114,10,coronal,n/a,1.841,142.225,14277.923,11,2033
72103854,RP_051017_03_A04,33296,Nell2,NEL-like 2 (chicken),54003,15,coronal,n/a,1.803,255.807,26217.107,11,2033
74743293,RP_060220_04_E11,19022,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5",19259,7,coronal,n/a,1.789,171.087,17673.369,11,2033
75934917,RP_060530_01_E09,42027,Rps4y2,"ribosomal protein S4, Y-linked 2",66184,6,coronal,n/a,1.744,65.962,14283.187,5,1888
74425515,RP_051214_02_E01,86005,Soat2,sterol O-acyltransferase 2,223920,15,coronal,n/a,1.717,129.241,12055.634,11,1762
199393,RP_040507_02_E12,21691,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a",21934,1,coronal,n/a,1.697,35.609,10667.096,3,1525
2533,RP_040526_01_F02,13428,Rhbdf1,rhomboid family 1 (Drosophila),13650,11,coronal,n/a,1.671,44.714,8583.461,6,1925
72007561,RP_051017_01_A03,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.658,443.209,49403.543,11,2033
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,1.642,130.352,14669.654,11,2033
74750043,RP_060220_05_F03,87020,Zkscan16,zinc finger with KRAB and SCAN domains 16,100041581,4,coronal,n/a,1.637,54.654,12611.574,5,1889
75038432,RP_060412_04_A02,16263,Kcna2,"potassium voltage-gated channel, shaker-related subfamily, member 2",16490,3,coronal,n/a,1.623,122.890,13993.798,11,2033
74511884,RP_060117_02_C07,19499,Rgs4,regulator of G-protein signaling 4,19736,1,coronal,n/a,1.594,111.260,12884.404,11,2031
777,RP_040315_01_19,29763,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor,30052,X,coronal,n/a,1.573,242.670,28508.311,11,2033
71924504,RP_050630_03_D11,129674,LOC433088,LOC433088,433088,17,coronal,n/a,1.573,85.832,13144.405,6,1445
293038,RP_040609_01_F01,42902,Ola1,Obg-like ATPase 1,67059,2,coronal,n/a,1.554,95.371,10566.650,11,1894
75042240,RP_051219_02_C02,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.553,141.600,16851.326,11,2033
75774115,RP_060530_01_B11,43806,Npc2,Niemann Pick type C2,67963,12,coronal,n/a,1.548,126.516,15104.149,11,2033
