id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
112648396,RP_081204_02_B07,18196,Oxt,oxytocin,18429,2,coronal,n/a,5.426,632.443,3494.733,63,1889
967,RP_Baylor_253972,84624,Slc18a2,"solute carrier family 18 (vesicular monoamine), member 2",214084,19,coronal,n/a,3.859,541.682,4529.471,63,2033
600,RP_040315_01_10,16199,Itih3,"inter-alpha trypsin inhibitor, heavy chain 3",16426,14,coronal,n/a,2.344,590.514,9431.376,48,1797
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,2.333,759.258,12088.510,51,1894
121098,RP_040507_01_A04,14167,Gabpb1,"GA repeat binding protein, beta 1",14391,2,coronal,n/a,2.167,457.085,6431.565,63,1921
74047400,RP_051214_01_G01,49725,Zdbf2,"zinc finger, DBF-type containing 2",73884,1,coronal,n/a,2.162,545.313,7553.509,63,1887
1263,RP_Baylor_103342,79944,Plxnb2,plexin B2,140570,15,coronal,n/a,2.034,736.139,11588.428,63,2017
79556672,RP_071204_01_C05,12092,Calb1,calbindin 1,12307,4,coronal,n/a,1.929,943.807,14981.532,63,1929
79591573,RP_071204_04_C03,19435,Rcn1,reticulocalbin 1,19672,2,coronal,n/a,1.877,540.776,8877.012,61,1880
71249740,RP_050414_04_A03,107813,Mical2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",320878,7,coronal,n/a,1.857,453.541,7883.141,63,2033
324214,RP_040617_01_E09,87454,Ccdc136,coiled-coil domain containing 136,232664,6,coronal,n/a,1.852,393.234,6197.492,46,1343
79591571,RP_071204_04_C02,27130,Magel2,"melanoma antigen, family L, 2",27385,7,coronal,n/a,1.845,917.948,13825.672,61,1695
324211,RP_040617_01_E06,43169,1700037H04Rik,RIKEN cDNA 1700037H04 gene,67326,2,coronal,n/a,1.834,874.370,10949.189,61,1401
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,1.815,539.991,9574.570,63,2027
552,RP_Baylor_102837,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.810,1655.841,16869.799,63,1162
196,RP_Baylor_102658,12172,Ctnnb1,"catenin (cadherin associated protein), beta 1",12387,9,coronal,n/a,1.808,510.087,8959.013,63,2001
772,RP_Baylor_102947,18312,Pcp4,Purkinje cell protein 4,18546,16,coronal,n/a,1.767,560.977,10057.223,63,1996
655497,RP_040922_01_B10,17878,Nnat,neuronatin,18111,2,coronal,n/a,1.747,2735.944,39739.574,61,1548
577,RP_Baylor_253924,15243,Prmt2,protein arginine N-methyltransferase 2,15468,10,coronal,n/a,1.746,653.124,14888.223,42,1672
1683,RP_040526_02_C10,12365,Cdkn2c,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",12580,4,coronal,n/a,1.733,1212.533,22532.098,63,2029
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,1.721,542.031,10025.902,63,2005
79912548,RP_080109_01_B02,86772,Nrsn2,neurensin 2,228777,2,coronal,n/a,1.713,784.917,14727.595,63,2025
87,RP_040315_01_23,11393,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",11606,8,coronal,n/a,1.713,648.152,12115.195,63,2017
75080750,RP_060412_04_G11,14554,Gpx3,glutathione peroxidase 3,14778,11,coronal,n/a,1.710,598.913,11065.903,63,1990
293663,RP_040604_02_H02,84444,Prpsap2,phosphoribosyl pyrophosphate synthetase-associated protein 2,212627,11,coronal,n/a,1.697,559.843,11505.027,48,1674
73592534,RP_051017_01_E10,37655,Fxyd6,FXYD domain-containing ion transport regulator 6,59095,9,coronal,n/a,1.696,1109.780,21118.736,63,2033
74750043,RP_060220_05_F03,87020,Zkscan16,zinc finger with KRAB and SCAN domains 16,100041581,4,coronal,n/a,1.688,698.853,12611.574,62,1889
74658019,RP_060220_04_C02,36074,Arl10,ADP-ribosylation factor-like 10,56795,13,coronal,n/a,1.687,557.696,10553.127,63,2011
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.683,827.907,15775.811,63,2020
75081206,RP_060315_03_C11,144469,Baiap3,BAI1-associated protein 3,545192,17,coronal,n/a,1.677,1024.481,19716.936,63,2033
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.665,1545.453,29442.742,63,1998
74881560,RP_060315_04_C12,11766,Atp8a1,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1",11980,5,coronal,n/a,1.664,1006.575,19518.973,63,2033
79556666,RP_071204_01_B10,12343,Cdh2,cadherin 2,12558,18,coronal,n/a,1.664,672.671,13019.462,63,2029
77925023,RP_070320_01_A01,20213,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",20450,7,coronal,n/a,1.662,531.658,12105.802,44,1665
357097,RP_040617_02_B01,27763,Ing4,"inhibitor of growth family, member 4",28019,6,coronal,n/a,1.659,1206.718,23466.018,63,2033
32386,RP_040324_01_C08,18821,Ppp3r1,"protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)",19058,11,coronal,n/a,1.654,1642.317,30556.828,63,1939
770,RP_Baylor_103306,60376,Pcdhga12,"protocadherin gamma subfamily A, 12",93724,18,coronal,n/a,1.653,544.392,10426.579,63,1995
71924008,RP_051017_02_H04,54421,Utp23,"UTP23, small subunit (SSU) processome component, homolog (yeast)",78581,15,coronal,n/a,1.644,634.273,11244.378,63,1836
75749783,RP_060518_01_B04,87243,Parm1,prostate androgen-regulated mucin-like protein 1,231440,5,coronal,n/a,1.635,528.456,9616.615,63,1874
61210,RP_040407_01_C01,48515,Adipor1,adiponectin receptor 1,72674,1,coronal,n/a,1.632,641.396,14598.476,51,1894
71247672,RP_050407_01_H09,13431,Egr1,early growth response 1,13653,18,coronal,n/a,1.625,498.313,9895.660,63,2033
67881552,RP_041018_01_E09,20359,Smpd1,"sphingomyelin phosphodiesterase 1, acid lysosomal",20597,7,coronal,n/a,1.613,837.549,17885.566,48,1653
72472802,RP_051101_02_F06,89107,Slc6a11,"solute carrier family 6 (neurotransmitter transporter, GABA), member 11",243616,6,coronal,n/a,1.608,1063.833,21344.705,63,2033
74882697,RP_060315_04_G03,46645,Pgrmc2,progesterone receptor membrane component 2,70804,3,coronal,n/a,1.607,683.659,13731.225,63,2033
70744516,RP_050725_02_B09,37012,Stk32c,serine/threonine kinase 32C,57740,7,coronal,n/a,1.607,509.385,10231.272,63,2033
77887874,RP_070208_04_A05,17878,Nnat,neuronatin,18111,2,coronal,n/a,1.606,911.022,24680.900,33,1436
