id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,3.097,1673.200,7829.876,120,1739
74274689,RP_050927_04_E12,46078,Bhlhb9,"basic helix-loop-helix domain containing, class B9",70237,X,coronal,n/a,2.730,764.664,5500.687,94,1846
75041431,RP_060412_04_B01,53708,Six3os1,Six3 opposite strand transcript 1,100043902,17,coronal,n/a,2.458,898.868,5786.196,118,1867
544328,RP_040625_01_H06,69818,Phyhip,phytanoyl-CoA hydroxylase interacting protein,105653,14,coronal,n/a,2.184,1047.010,8120.326,120,2033
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,2.049,882.561,7297.173,120,2033
79591687,RP_071204_04_H02,106909,Auts2,autism susceptibility candidate 2,319974,5,coronal,n/a,2.036,767.984,5882.115,104,1622
275874,RP_040604_02_F08,35638,Copz2,"coatomer protein complex, subunit zeta 2",56358,11,coronal,n/a,1.731,1311.796,13566.208,103,1844
293038,RP_040609_01_F01,42902,Ola1,Obg-like ATPase 1,67059,2,coronal,n/a,1.660,1111.468,10566.650,120,1894
79591675,RP_071204_04_G08,12584,Cnr1,cannabinoid receptor 1 (brain),12801,4,coronal,n/a,1.654,1223.638,12112.565,116,1899
79568020,RP_071204_02_A11,35770,Zbtb20,zinc finger and BTB domain containing 20,56490,16,coronal,n/a,1.650,1028.360,9797.617,120,1886
75041464,RP_060412_04_B10,16751,Lrrn3,"leucine rich repeat protein 3, neuronal",16981,12,coronal,n/a,1.597,1010.000,10462.828,120,1985
293463,RP_040604_02_F11,32197,Anapc16,anaphase promoting complex subunit 16,52717,10,coronal,n/a,1.561,1317.101,14391.915,116,1978
283,RP_Baylor_253893,12584,Cnr1,cannabinoid receptor 1 (brain),12801,4,coronal,n/a,1.557,1511.604,16398.428,120,2027
74047888,RP_051214_02_B07,27627,D16H22S680E,"DNA segment, Chr 16, human D22S680E, expressed",27883,16,coronal,n/a,1.557,897.397,8330.569,120,1734
67752308,RP_040922_01_D06,12672,Cplx1,complexin 1,12889,5,coronal,n/a,1.518,1585.734,26339.357,77,1941
74658080,RP_060220_04_D05,13863,Fscn1,"fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)",14086,5,coronal,n/a,1.499,778.019,10023.804,99,1912
72007935,RP_051017_01_B04,47884,Sulf2,sulfatase 2,72043,2,coronal,n/a,1.487,976.472,12442.685,106,2008
71064051,RP_050725_03_C09,88875,Prosapip1,ProSAPiP1 protein,241638,2,coronal,n/a,1.470,973.062,11210.749,120,2033
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,1.466,1269.038,14669.654,120,2033
71836807,RP_051017_02_A12,68340,Sbk1,SH3-binding kinase 1,104175,7,coronal,n/a,1.446,984.881,11535.740,120,2033
72129250,RP_051017_03_E10,52737,Ralyl,RALY RNA binding protein-like,76897,3,coronal,n/a,1.422,1084.343,12917.934,120,2033
71924399,RP_050623_04_H03,42537,Uqcrfs1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",66694,13,coronal,n/a,1.420,1295.425,15452.854,120,2033
1158,RP_Baylor_253881,27824,Atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",28080,16,coronal,n/a,1.397,1303.390,14473.706,120,1862
75147765,RP_060207_02_A12,92471,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",268345,10,coronal,n/a,1.390,892.180,9558.782,120,1787
76115727,RP_060620_02_B06,12499,Ckm,"creatine kinase, muscle",12715,7,coronal,n/a,1.383,1038.686,11731.414,120,1874
293664,RP_040604_02_H03,88021,C1qtnf5,C1q and tumor necrosis factor related protein 5,235312,9,coronal,n/a,1.379,1212.560,14901.529,120,2033
79591685,RP_071204_04_H01,87401,Slc6a1,"solute carrier family 6 (neurotransmitter transporter, GABA), member 1",232333,6,coronal,n/a,1.376,1637.824,18869.521,120,1902
71587783,RP_050725_03_F07,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.349,1857.312,23303.037,120,2031
79591669,RP_071018_02_B07,14193,Gad2,glutamic acid decarboxylase 2,14417,2,coronal,n/a,1.328,2036.701,23437.820,109,1666
2629,RP_040407_02_E09,23818,Srp54a,signal recognition particle 54A,24067,12,coronal,n/a,1.328,1188.486,15165.980,120,2033
71063725,RP_050725_03_C03,20133,Sez6,seizure related gene 6,20370,11,coronal,n/a,1.326,1001.372,12793.989,120,2033
71836799,RP_051017_02_A06,82986,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,192678,10,coronal,n/a,1.320,1048.399,12945.437,120,1956
75551465,RP_060523_02_B02,11224,Chrna1,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",11435,2,coronal,n/a,1.314,1392.827,13729.873,120,1554
227165,RP_040604_02_C01,45013,1810031K17Rik,RIKEN cDNA 1810031K17 gene,69171,1,coronal,n/a,1.312,1430.984,19530.520,105,1880
112647321,RP_110407_02_F01,14349,Gdnf,glial cell line derived neurotrophic factor,14573,15,coronal,n/a,1.311,2554.402,27316.602,120,1682
70616005,RP_050725_01_D08,21902,Tuba4a,"tubulin, alpha 4A",22145,1,coronal,n/a,1.302,1215.219,15814.861,120,2033
72108825,RP_050705_02_H01,16275,Kcnc1,"potassium voltage gated channel, Shaw-related subfamily, member 1",16502,7,coronal,n/a,1.295,1095.104,14331.160,120,2033
356850,RP_040617_01_G10,18944,Psmc2,"proteasome (prosome, macropain) 26S subunit, ATPase 2",19181,5,coronal,n/a,1.293,2054.069,26911.598,120,2033
75749418,RP_060606_03_A02,14583,Grik3,"glutamate receptor, ionotropic, kainate 3",14807,4,coronal,n/a,1.289,867.040,10764.872,120,1921
67870080,RP_041018_01_C04,62223,Gtf2f1,"general transcription factor IIF, polypeptide 1",98053,17,coronal,n/a,1.285,1096.568,14809.329,89,1545
75042240,RP_051219_02_C02,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.282,1274.886,16851.326,120,2033
74819463,RP_060315_02_F05,27725,D4Wsu53e,"DNA segment, Chr 4, Wayne State University 53, expressed",27981,4,coronal,n/a,1.281,1993.679,24704.152,120,1905
79591641,RP_071204_04_F09,12457,Chrm4,"cholinergic receptor, muscarinic 4",12672,2,coronal,n/a,1.272,901.360,9618.250,103,1398
79556640,RP_071204_01_A04,42959,Cuedc2,CUE domain containing 2,67116,19,coronal,n/a,1.272,1223.086,14541.623,116,1754
552,RP_Baylor_102837,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.267,202.376,16869.799,11,1162
72081554,RP_051017_01_D07,22105,Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",22348,2,coronal,n/a,1.265,2285.591,30601.182,120,2033
654924,RP_040922_01_A10,86962,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",229877,3,coronal,n/a,1.265,1900.117,23372.125,120,1867
71924087,RP_051017_02_H10,73834,Ank2,"ankyrin 2, brain",109676,3,coronal,n/a,1.265,2634.613,33920.172,120,1954
61413,RP_040407_01_C10,14464,Gnb1,"guanine nucleotide binding protein (G protein), beta 1",14688,4,coronal,n/a,1.262,1253.743,24596.080,77,1906
71015807,RP_050725_02_H05,35643,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,56363,1,coronal,n/a,1.261,1277.793,17169.891,120,2033
74988757,RP_060315_05_H01,129895,LOC433311,LOC433311,433311,1,coronal,n/a,1.258,1174.909,12893.244,93,1284
70743842,RP_050725_01_G04,11544,Prdx3,peroxiredoxin 3,11757,19,coronal,n/a,1.258,959.582,12923.938,120,2033
293663,RP_040604_02_H02,84444,Prpsap2,phosphoribosyl pyrophosphate synthetase-associated protein 2,212627,11,coronal,n/a,1.253,766.452,11505.027,89,1674
89,RP_040324_01_E06,36051,Mllt11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",56772,3,coronal,n/a,1.245,1042.474,17618.777,93,1957
75774115,RP_060530_01_B11,43806,Npc2,Niemann Pick type C2,67963,12,coronal,n/a,1.239,1104.912,15104.149,120,2033
479,RP_040324_01_F01,14191,Gad1,glutamate decarboxylase 1,14415,2,coronal,n/a,1.237,1809.567,24781.891,120,2033
73907503,RP_051214_03_A09,42764,Prpf38b,PRP38 pre-mRNA processing factor 38 (yeast) domain containing B,66921,3,coronal,n/a,1.235,1112.248,15238.109,120,2031
72340131,RP_051101_02_A09,14170,Gabra1,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1",14394,11,coronal,n/a,1.230,1669.118,22991.850,120,2033
71836748,RP_051017_02_A03,57199,Dnajb1,"DnaJ (Hsp40) homolog, subfamily B, member 1",81489,8,coronal,n/a,1.230,1270.878,16845.883,120,1956
72472806,RP_051101_02_F10,14453,Gnai1,"guanine nucleotide binding protein (G protein), alpha inhibiting 1",14677,5,coronal,n/a,1.230,1106.384,15244.597,120,2033
594,RP_040315_01_03,15983,Impact,imprinted and ancient,16210,18,coronal,n/a,1.229,1292.361,23930.617,69,1570
79568026,RP_071204_02_B03,12349,Cdh8,cadherin 8,12564,8,coronal,n/a,1.227,1081.633,13375.114,120,1820
76097699,RP_060620_02_A04,46987,Golga7b,"golgi autoantigen, golgin subfamily a, 7B",71146,19,coronal,n/a,1.226,1097.779,13237.071,120,1774
73992933,RP_051214_03_C11,12640,Cox4i1,cytochrome c oxidase subunit IV isoform 1,12857,8,coronal,n/a,1.223,1626.228,21873.982,120,1974
73817434,RP_051101_01_A10,17807,Nefm,"neurofilament, medium polypeptide",18040,14,coronal,n/a,1.220,1472.705,20447.061,120,2033
75042248,RP_060412_02_C01,13227,Dok1,docking protein 1,13448,6,coronal,n/a,1.218,2127.738,36773.805,93,1957
1974,RP_Baylor_253926,51267,Igfbpl1,insulin-like growth factor binding protein-like 1,75426,4,coronal,n/a,1.217,1822.361,23713.770,120,1901
71924269,RP_050609_02_F09,92942,Elmod1,ELMO domain containing 1,270162,9,coronal,n/a,1.213,1276.670,29282.193,67,1864
713,RP_Baylor_102935,17881,Rrp1,ribosomal RNA processing 1 homolog (S. cerevisiae),18114,10,coronal,n/a,1.212,1021.402,14277.923,120,2033
1697,RP_040604_01_G11,84315,Nomo1,nodal modulator 1,211548,7,coronal,n/a,1.208,1035.235,14516.549,120,2033
356284,RP_040617_02_D06,43721,Tmem33,transmembrane protein 33,67878,5,coronal,n/a,1.206,1296.936,16401.682,109,1662
75651233,RP_060518_01_D11,22074,Vamp1,vesicle-associated membrane protein 1,22317,6,coronal,n/a,1.204,1611.299,22669.176,120,2033
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,1.199,1198.551,16503.998,120,1981
