id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
73521000,RP_051101_02_H07,68246,Nxph4,neurexophilin 4,104080,10,coronal,n/a,4.120,696.362,3126.925,84,1554
75988622,RP_060620_02_E03,85210,Dgkb,"diacylglycerol kinase, beta",217480,12,coronal,n/a,3.595,1361.774,7575.648,97,1940
67936011,RP_041102_01_A05,14905,Hbb-b1,"hemoglobin, beta adult major chain",15129,7,coronal,n/a,3.343,356.843,3511.664,49,1612
79591671,RP_071204_04_G06,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,3.225,465.862,4926.952,56,1910
73787952,RP_051213_01_A04,85210,Dgkb,"diacylglycerol kinase, beta",217480,12,coronal,n/a,3.162,1339.691,8879.623,97,2033
74658000,RP_060220_04_C01,106859,Apba1,"amyloid beta (A4) precursor protein binding, family A, member 1",319924,19,coronal,n/a,3.071,696.587,4754.426,97,2033
74511882,RP_051121_04_A03,11303,Adcyap1,adenylate cyclase activating polypeptide 1,11516,17,coronal,n/a,2.983,1889.354,13275.530,97,2033
79556722,RP_071204_01_E02,11616,Aqp4,aquaporin 4,11829,18,coronal,n/a,2.967,994.220,6080.943,97,1760
72104185,RP_050927_01_G06,11352,Adssl1,adenylosuccinate synthetase like 1,11565,12,coronal,n/a,2.855,726.383,5333.229,97,2033
2089,RP_Baylor_103357,84619,Agap3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",213990,5,coronal,n/a,2.501,540.005,6177.354,66,1888
498,RP_Baylor_102818,14434,Glrb,"glycine receptor, beta subunit",14658,3,coronal,n/a,2.446,734.679,6225.102,97,2010
73818754,RP_050921_01_E03,80230,Slc17a6,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",140919,7,coronal,n/a,2.347,1663.721,14855.193,97,2033
71836801,RP_051017_02_A07,89161,Zfp536,zinc finger protein 536,243937,7,coronal,n/a,2.314,783.188,7094.799,97,2033
73592538,RP_051017_01_F03,17686,Myo5b,myosin VB,17919,18,coronal,n/a,2.240,890.192,8304.832,97,2027
74357578,RP_050927_04_E03,87141,Igsf21,"immunoglobin superfamily, member 21",230868,4,coronal,n/a,2.235,693.310,6501.180,97,2033
73930842,RP_051214_04_D04,57385,Jdp2,Jun dimerization protein 2,81703,12,coronal,n/a,2.222,375.778,6697.858,45,1782
71836799,RP_051017_02_A06,82986,Rassf3,Ras association (RalGDS/AF-6) domain family member 3,192678,10,coronal,n/a,2.160,800.523,12945.437,56,1956
73615805,RP_050818_01_F01,37281,BC100451,cDNA sequence BC100451,58251,11,coronal,n/a,1.992,1286.786,13172.053,97,1978
74800915,RP_060315_02_A08,17871,Nqo1,"NAD(P)H dehydrogenase, quinone 1",18104,8,coronal,n/a,1.977,371.065,6031.302,45,1446
77280419,RP_070116_01_E02,87074,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,230649,4,coronal,n/a,1.975,688.156,7177.750,97,1998
72119581,RP_051017_04_A04,26807,Cadps,Ca2+-dependent secretion activator,27062,14,coronal,n/a,1.948,1576.816,16968.016,97,2033
72129250,RP_051017_03_E10,52737,Ralyl,RALY RNA binding protein-like,76897,3,coronal,n/a,1.918,1182.127,12917.934,97,2033
71358589,RP_050725_03_E09,57579,Tmem108,transmembrane protein 108,81907,9,coronal,n/a,1.908,965.262,10603.275,97,2033
121089,RP_040428_01_C09,22116,Vldlr,very low density lipoprotein receptor,22359,19,coronal,n/a,1.895,1146.354,5809.764,94,903
71249740,RP_050414_04_A03,107813,Mical2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",320878,7,coronal,n/a,1.889,710.537,7883.141,97,2033
72128748,RP_051017_04_C04,12829,Cux2,cut-like homeobox 2,13048,5,coronal,n/a,1.840,766.478,8097.503,97,1886
1106,RP_Baylor_103157,26695,Vsnl1,visinin-like 1,26950,12,coronal,n/a,1.839,690.795,7872.454,97,2033
72119580,RP_051017_04_A03,16297,Kcnj9,"potassium inwardly-rectifying channel, subfamily J, member 9",16524,1,coronal,n/a,1.838,751.695,8573.803,97,2033
79591723,RP_071218_02_B12,14592,Grm1,"glutamate receptor, metabotropic 1",14816,10,coronal,n/a,1.832,841.119,8989.790,97,1899
67936005,RP_041018_01_F01,30333,Rnf10,ring finger protein 10,50849,5,coronal,n/a,1.821,569.591,8674.793,56,1553
74511987,RP_060220_03_C12,108919,Tmem145,transmembrane protein 145,330485,7,coronal,n/a,1.809,980.420,11357.710,97,2033
79556628,RP_071101_01_A06,14346,Arhgdig,Rho GDP dissociation inhibitor (GDI) gamma,14570,17,coronal,n/a,1.806,707.660,8209.277,97,2032
71249739,RP_050414_03_H02,47164,Rassf8,Ras association (RalGDS/AF-6) domain family (N-terminal) member 8,71323,6,coronal,n/a,1.751,715.047,8561.093,97,2033
67936010,RP_041102_01_A04,29593,Pmm1,phosphomannomutase 1,29858,15,coronal,n/a,1.740,718.674,9369.971,87,1974
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,1.736,1185.951,13749.449,97,1952
