id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
1569,RP_040625_02_A06,19499,Rgs4,regulator of G-protein signaling 4,19736,1,coronal,n/a,4.831,91.625,3213.040,12,2033
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,3.624,306.311,13749.449,12,1952
74511884,RP_060117_02_C07,19499,Rgs4,regulator of G-protein signaling 4,19736,1,coronal,n/a,3.263,248.415,12884.404,12,2031
2325,RP_Baylor_102862,16144,Irx1,Iroquois related homeobox 1 (Drosophila),16371,13,coronal,n/a,3.030,87.705,4698.886,12,1948
74047908,RP_051214_02_C05,21529,Ppp2r5d,"protein phosphatase 2, regulatory subunit B (B56), delta isoform",21770,17,coronal,n/a,2.866,104.124,5749.081,12,1899
76135815,RP_060711_03_C05,83924,Pknox2,Pbx/knotted 1 homeobox 2,208076,9,coronal,n/a,2.780,107.565,6254.665,12,1940
79591723,RP_071218_02_B12,14592,Grm1,"glutamate receptor, metabotropic 1",14816,10,coronal,n/a,2.770,157.362,8989.790,12,1899
71670711,RP_050519_01_F05,48001,Tmem163,transmembrane protein 163,72160,1,coronal,n/a,2.664,99.633,6336.063,12,2033
76135807,RP_060711_03_C03,87555,Rasgrp4,RAS guanyl releasing protein 4,233046,7,coronal,n/a,2.599,108.036,6387.544,12,1844
963,RP_040324_01_A03,20475,Serpini1,"serine (or cysteine) peptidase inhibitor, clade I, member 1",20713,3,coronal,n/a,2.568,113.096,7335.563,12,1999
74273122,RP_050927_02_E07,71746,Col16a1,"collagen, type XVI, alpha 1",107581,4,coronal,n/a,2.543,23.004,7029.232,2,1554
293027,RP_040609_01_E01,47894,Tmub2,transmembrane and ubiquitin-like domain containing 2,72053,11,coronal,n/a,2.474,98.527,5820.437,12,1754
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,2.460,245.922,16503.998,12,1981
73787952,RP_051213_01_A04,85210,Dgkb,"diacylglycerol kinase, beta",217480,12,coronal,n/a,2.359,123.649,8879.623,12,2033
72103819,RP_051017_03_D08,84001,Diras1,"DIRAS family, GTP-binding RAS-like 1",208666,10,coronal,n/a,2.357,127.064,8629.863,12,1921
1988,RP_Baylor_103256,43255,6330407J23Rik,RIKEN cDNA 6330407J23 gene,67412,10,coronal,n/a,2.264,99.038,7203.774,12,1976
70231306,RP_050301_01_C10,12190,Cbln2,cerebellin 2 precursor protein,12405,18,coronal,n/a,2.242,150.484,11373.686,12,2033
1247,RP_Baylor_253951,86085,ORF63,open reading frame 63,224419,16,coronal,n/a,2.228,139.028,10566.331,12,2032
1189,RP_Baylor_103323,70813,Cyp4f15,"cytochrome P450, family 4, subfamily f, polypeptide 15",106648,17,coronal,n/a,2.127,171.271,13627.628,12,2031
71016653,RP_050725_03_B02,88708,Slc6a7,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7",240332,18,coronal,n/a,2.111,95.864,7689.168,12,2032
74750021,RP_060220_05_E11,20575,Srp14,signal recognition particle 14,20813,2,coronal,n/a,2.075,100.195,8180.716,12,2033
75043141,RP_060220_02_G01,26969,Tceb3,"transcription elongation factor B (SIII), polypeptide 3",27224,4,coronal,n/a,1.970,21.721,10332.100,2,1874
2661,RP_040526_02_B04,21179,Tfap2a,"transcription factor AP-2, alpha",21418,13,coronal,n/a,1.968,134.000,11397.621,12,2009
72119649,RP_051017_04_B03,12078,Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,5,coronal,n/a,1.957,137.064,11864.989,12,2033
2737,RP_Baylor_103195,33692,Ywhab,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide",54401,2,coronal,n/a,1.952,142.303,12347.867,12,2033
2167,RP_Baylor_102792,14133,Dtx1,deltex 1 homolog (Drosophila),14357,5,coronal,n/a,1.935,110.346,9145.872,12,1925
75651165,RP_060518_01_A09,86161,Trerf1,transcriptional regulating factor 1,224829,17,coronal,n/a,1.916,98.564,8666.038,12,2022
74581367,RP_050921_01_H11,60347,Gpnmb,glycoprotein (transmembrane) nmb,93695,6,coronal,n/a,1.888,230.116,20653.494,12,2033
1106,RP_Baylor_103157,26695,Vsnl1,visinin-like 1,26950,12,coronal,n/a,1.875,87.140,7872.454,12,2033
