id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,4.195,394.550,5794.147,33,2033
74882936,RP_060315_04_H08,20287,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1",20525,4,coronal,n/a,3.924,275.256,3983.893,33,1874
71670726,RP_050602_03_F02,120365,Ccdc164,coiled-coil domain containing 164,381738,5,coronal,n/a,3.735,267.971,4419.571,33,2033
73521826,RP_051101_03_B10,93222,Trp53i11,transformation related protein 53 inducible protein 11,277414,2,coronal,n/a,3.441,310.028,5550.405,33,2033
620,RP_Baylor_102880,16500,L1cam,L1 cell adhesion molecule,16728,X,coronal,n/a,2.997,230.287,5332.686,28,1943
71016631,RP_050725_03_A12,21801,Trh,thyrotropin releasing hormone,22044,6,coronal,n/a,2.711,412.690,9377.998,33,2033
77887874,RP_070208_04_A05,17878,Nnat,neuronatin,18111,2,coronal,n/a,2.534,871.204,24680.900,20,1436
75080750,RP_060412_04_G11,14554,Gpx3,glutathione peroxidase 3,14778,11,coronal,n/a,2.510,460.626,11065.903,33,1990
74581394,RP_060117_02_C03,18594,Pltp,phospholipid transfer protein,18830,2,coronal,n/a,2.487,584.196,15983.504,28,1905
79488933,RP_070129_01_B05,11534,Anxa5,annexin A5,11747,3,coronal,n/a,2.461,279.038,6300.595,33,1834
79591687,RP_071204_04_H02,106909,Auts2,autism susceptibility candidate 2,319974,5,coronal,n/a,2.385,285.407,5882.115,33,1622
73930838,RP_051214_04_C12,11207,Accn1,"amiloride-sensitive cation channel 1, neuronal (degenerin)",11418,11,coronal,n/a,2.300,341.545,9148.727,33,2033
76115736,RP_060620_02_C04,17847,Nin,ninein,18080,12,coronal,n/a,2.215,201.627,6095.452,27,1808
1263,RP_Baylor_103342,79944,Plxnb2,plexin B2,140570,15,coronal,n/a,2.196,416.392,11588.428,33,2017
71064082,RP_050725_03_D01,88013,Scn3b,"sodium channel, voltage-gated, type III, beta",235281,9,coronal,n/a,2.191,337.671,9495.075,33,2033
77280331,RP_070116_01_B06,20436,Sox2,SRY-box containing gene 2,20674,3,coronal,n/a,2.179,178.406,5275.552,25,1611
67881545,RP_041018_01_E02,19490,Rfxank,regulatory factor X-associated ankyrin-containing protein,19727,8,coronal,n/a,2.155,308.786,8700.991,33,2004
79556722,RP_071204_01_E02,11616,Aqp4,aquaporin 4,11829,18,coronal,n/a,2.136,184.462,6080.943,25,1760
74047400,RP_051214_01_G01,49725,Zdbf2,"zinc finger, DBF-type containing 2",73884,1,coronal,n/a,2.126,238.270,7553.509,28,1887
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,2.085,324.997,9574.570,33,2027
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,2.069,341.403,10025.902,33,2005
73520985,RP_051101_02_G04,81952,Hpcal4,hippocalcin-like 4,170638,4,coronal,n/a,2.051,296.773,8913.138,33,2033
74658019,RP_060220_04_C02,36074,Arl10,ADP-ribosylation factor-like 10,56795,13,coronal,n/a,2.020,265.043,10553.127,25,2011
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,2.015,382.613,11691.342,33,2032
71924089,RP_051017_02_H11,88813,Accn4,"amiloride-sensitive cation channel 4, pituitary",241118,1,coronal,n/a,2.003,239.495,7177.278,33,1981
72081556,RP_051017_01_D09,43786,Mesdc2,mesoderm development candidate 2,67943,7,coronal,n/a,2.003,659.007,20043.900,33,2010
77869128,RP_070205_01_A09,35743,Snd1,staphylococcal nuclease and tudor domain containing 1,56463,6,coronal,n/a,1.951,243.922,7349.811,33,1940
70560278,RP_050331_01_A07,52047,Gpr165,G protein-coupled receptor 165,76206,X,coronal,n/a,1.899,510.727,16571.004,33,2033
71924214,RP_050607_02_D02,64339,Phactr4,phosphatase and actin regulator 4,100169,4,coronal,n/a,1.866,232.386,7116.430,33,1886
87,RP_040315_01_23,11393,Agt,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)",11606,8,coronal,n/a,1.863,369.288,12115.195,33,2017
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,1.819,433.097,14669.654,33,2033
70813926,RP_050725_02_F06,43814,Tppp3,tubulin polymerization-promoting protein family member 3,67971,8,coronal,n/a,1.816,569.996,19340.570,33,2033
71717084,RP_050505_04_B03,18376,Pdyn,prodynorphin,18610,2,coronal,n/a,1.791,246.939,8492.438,33,2033
600,RP_040315_01_10,16199,Itih3,"inter-alpha trypsin inhibitor, heavy chain 3",16426,14,coronal,n/a,1.784,308.973,9431.376,33,1797
70743844,RP_050610_01_A01,87854,Cpne2,copine II,234577,8,coronal,n/a,1.781,301.936,10444.777,33,2033
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,1.774,862.579,29442.742,33,1998
70231306,RP_050301_01_C10,12190,Cbln2,cerebellin 2 precursor protein,12405,18,coronal,n/a,1.757,324.393,11373.686,33,2033
74586669,RP_051214_01_B09,108965,Ctxn1,cortexin 1,330695,8,coronal,n/a,1.756,515.202,18074.596,33,2033
74583119,RP_051214_02_F03,18851,Prkar2b,"protein kinase, cAMP dependent regulatory, type II beta",19088,12,coronal,n/a,1.742,231.181,8161.423,33,2029
71587885,RP_050725_03_A10,13165,Dlk1,delta-like 1 homolog (Drosophila),13386,12,coronal,n/a,1.725,689.434,24620.186,33,2033
71247672,RP_050407_01_H09,13431,Egr1,early growth response 1,13653,18,coronal,n/a,1.720,276.269,9895.660,33,2033
71717640,RP_050713_02_B11,12092,Calb1,calbindin 1,12307,4,coronal,n/a,1.688,264.188,9640.174,33,2033
70744516,RP_050725_02_B09,37012,Stk32c,serine/threonine kinase 32C,57740,7,coronal,n/a,1.686,280.011,10231.272,33,2033
