id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
112648396,RP_081204_02_B07,18196,Oxt,oxytocin,18429,2,coronal,n/a,9.121,236.229,3494.733,14,1889
2493,RP_Baylor_102974,18739,Pomc,pro-opiomelanocortin-alpha,18976,12,coronal,n/a,6.809,153.131,3259.546,14,2029
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,4.789,191.081,5794.147,14,2033
2263,RP_Baylor_102821,14454,Gnai2,"guanine nucleotide binding protein (G protein), alpha inhibiting 2",14678,9,coronal,n/a,4.510,123.352,3967.391,14,2031
71249057,RP_050407_03_F09,22391,Plagl1,pleiomorphic adenoma gene-like 1,22634,10,coronal,n/a,4.229,49.368,3177.272,7,1905
71250310,RP_050419_04_E05,69992,Amigo2,adhesion molecule with Ig like domain 2,105827,15,coronal,n/a,4.203,99.091,3423.887,14,2033
79907904,RP_071218_02_C05,22109,Vim,vimentin,22352,2,coronal,n/a,4.191,100.323,3185.160,14,1863
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,4.059,268.442,9574.570,14,2027
79591541,RP_071204_04_B09,12269,Cd24a,CD24a antigen,12484,10,coronal,n/a,3.793,35.048,3705.644,4,1604
1263,RP_Baylor_103342,79944,Plxnb2,plexin B2,140570,15,coronal,n/a,3.140,252.552,11588.428,14,2017
1924,RP_040507_02_E02,35684,Trip4,thyroid hormone receptor interactor 4,56404,9,coronal,n/a,2.958,112.408,5513.248,14,2031
73992916,RP_051214_01_F08,19181,Rasgrf2,RAS protein-specific guanine nucleotide-releasing factor 2,19418,13,coronal,n/a,2.860,147.707,7499.692,14,2033
71717084,RP_050505_04_B03,18376,Pdyn,prodynorphin,18610,2,coronal,n/a,2.802,163.887,8492.438,14,2033
74881855,RP_060315_04_D05,92790,Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5",269608,4,coronal,n/a,2.776,130.606,6832.888,14,2033
383,RP_Baylor_102748,13418,Efna5,ephrin A5,13640,17,coronal,n/a,2.721,111.135,5931.322,14,2033
1770,RP_040526_02_G02,82088,Mlc1,megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human),170790,15,coronal,n/a,2.538,168.611,9648.585,14,2033
71836882,RP_051017_02_E12,47048,Nudt4,nudix (nucleoside diphosphate linked moiety X)-type motif 4,71207,10,coronal,n/a,2.470,105.255,6187.783,14,2033
808,RP_Baylor_102968,18571,Pld3,"phospholipase D family, member 3",18807,7,coronal,n/a,2.436,129.173,7663.450,14,2023
74581394,RP_060117_02_C03,18594,Pltp,phospholipid transfer protein,18830,2,coronal,n/a,2.408,141.445,15983.504,7,1905
770,RP_Baylor_103306,60376,Pcdhga12,"protocadherin gamma subfamily A, 12",93724,18,coronal,n/a,2.400,175.608,10426.579,14,1995
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,2.377,259.863,15775.811,14,2020
600,RP_040315_01_10,16199,Itih3,"inter-alpha trypsin inhibitor, heavy chain 3",16426,14,coronal,n/a,2.361,136.308,9431.376,11,1797
976,RP_Baylor_103192,33176,Slc5a3,"solute carrier family 5 (inositol transporters), member 3",53881,16,coronal,n/a,2.324,123.359,7699.881,14,2031
79568020,RP_071204_02_A11,35770,Zbtb20,zinc finger and BTB domain containing 20,56490,16,coronal,n/a,2.310,155.982,9797.617,13,1886
77280331,RP_070116_01_B06,20436,Sox2,SRY-box containing gene 2,20674,3,coronal,n/a,2.294,75.114,5275.552,10,1611
994,RP_Baylor_103044,20417,Sod1,"superoxide dismutase 1, soluble",20655,16,coronal,n/a,2.261,123.931,7888.486,14,2015
