id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
74357569,RP_050915_02_B10,18992,Ptk2b,PTK2 protein tyrosine kinase 2 beta,19229,14,coronal,n/a,21.773,1096.121,1965.395,49,1913
71920511,RP_051017_02_G04,85318,Phactr1,phosphatase and actin regulator 1,218194,13,coronal,n/a,21.661,1242.687,2376.768,49,2030
72128750,RP_051017_04_C06,30242,Fbxw7,F-box and WD-40 domain protein 7,50754,3,coronal,n/a,18.967,570.776,1926.932,30,1921
70743898,RP_050725_02_A04,47938,2010300C02Rik,RIKEN cDNA 2010300C02 gene,72097,1,coronal,n/a,17.914,800.445,2112.541,43,2033
75081210,RP_060412_01_A03,48802,Slc17a7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7",72961,7,coronal,n/a,15.694,1557.041,4116.355,49,2033
77280574,RP_070116_01_G01,46570,Nos1ap,nitric oxide synthase 1 (neuronal) adaptor protein,70729,1,coronal,n/a,14.794,840.616,2030.508,49,1751
200,RP_Baylor_102666,12209,Cck,cholecystokinin,12424,9,coronal,n/a,14.105,750.721,2206.087,49,2031
70613989,RP_050725_01_C11,68321,Etv5,ets variant gene 5,104156,16,coronal,n/a,13.862,885.331,2649.796,49,2033
72340108,RP_051101_02_A01,16805,Lxn,latexin,17035,3,coronal,n/a,13.825,693.679,1934.256,49,1889
1231,RP_Baylor_102910,17303,Meis2,Meis homeobox 2,17536,2,coronal,n/a,13.720,772.919,2329.247,49,2026
71670483,RP_050503_04_A10,16566,Large,like-glycosyltransferase,16795,8,coronal,n/a,13.597,630.461,2201.843,41,1947
73992923,RP_051214_03_C01,12003,Bsn,bassoon,12217,9,coronal,n/a,13.460,1025.659,3159.892,49,2032
67870468,RP_041018_01_D10,86309,Rin1,Ras and Rab interactor 1,225870,19,coronal,n/a,13.027,741.693,2362.228,49,2033
70613990,RP_050725_01_C12,47570,Rgs12,regulator of G-protein signaling 12,71729,5,coronal,n/a,12.934,869.253,2788.308,49,2033
74657928,RP_060220_02_F07,35507,Tspan5,tetraspanin 5,56224,3,coronal,n/a,12.871,738.447,2844.863,41,2033
172,RP_Baylor_103411,106439,Nrcam,neuron-glia-CAM-related cell adhesion molecule,319504,12,coronal,n/a,12.481,621.319,2061.382,49,2029
73818755,RP_050921_01_G05,52738,B3gat1,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)",76898,9,coronal,n/a,12.340,701.975,2360.281,49,2033
79556605,RP_071018_02_B12,30269,Dkk3,dickkopf homolog 3 (Xenopus laevis),50781,7,coronal,n/a,12.087,926.380,2973.456,49,1901
73512197,RP_050712_04_A12,19024,Sirpa,signal-regulatory protein alpha,19261,2,coronal,n/a,11.942,685.230,2180.345,49,1862
