id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
79556597,RP_071018_01_H03,86335,Rorb,RAR-related orphan receptor beta,225998,19,coronal,n/a,10.062,132.136,2053.602,13,2033
77371865,RP_070129_01_C05,19646,Rora,RAR-related orphan receptor alpha,19883,9,coronal,n/a,9.975,191.566,2803.735,13,1898
79556609,RP_071018_03_B05,33817,Syt10,synaptotagmin X,54526,15,coronal,n/a,7.925,69.040,2067.822,8,1899
79488937,RP_070129_01_C05,19646,Rora,RAR-related orphan receptor alpha,19883,9,coronal,n/a,5.867,104.619,2661.003,13,1940
75651126,RP_060220_05_E08,17780,Neurod2,neurogenic differentiation 2,18013,11,coronal,n/a,4.917,142.475,4027.686,9,1251
73592530,RP_051017_01_E06,15784,Igfbp5,insulin-like growth factor binding protein 5,16011,1,coronal,n/a,4.834,368.955,11935.575,13,2033
112197858,RP_110421_01_F04,26175,Creb3l1,cAMP responsive element binding protein 3-like 1,26427,2,coronal,n/a,4.772,118.832,3984.337,8,1280
1418,RP_Baylor_103036,20186,Shh,sonic hedgehog,20423,5,coronal,n/a,4.156,139.527,5244.529,13,2031
70231997,RP_050303_02_F03,14195,Gal,galanin,14419,19,coronal,n/a,3.985,123.262,4837.775,13,2033
73521826,RP_051101_03_B10,93222,Trp53i11,transformation related protein 53 inducible protein 11,277414,2,coronal,n/a,3.980,141.253,5550.405,13,2033
741,RP_Baylor_102937,17955,Nrtn,neurturin,18188,17,coronal,n/a,3.776,121.781,6069.692,9,1694
994,RP_Baylor_103044,20417,Sod1,"superoxide dismutase 1, soluble",20655,16,coronal,n/a,3.511,178.670,7888.486,13,2015
74750013,RP_060220_05_E03,92908,Galntl6,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6,270049,8,coronal,n/a,3.508,71.979,4427.964,9,1942
793,RP_Baylor_102956,18393,Per2,period homolog 2 (Drosophila),18627,1,coronal,n/a,3.493,184.440,8257.090,13,2033
77280331,RP_070116_01_B06,20436,Sox2,SRY-box containing gene 2,20674,3,coronal,n/a,3.439,146.396,5275.552,13,1611
74047908,RP_051214_02_C05,21529,Ppp2r5d,"protein phosphatase 2, regulatory subunit B (B56), delta isoform",21770,17,coronal,n/a,3.378,81.804,5749.081,8,1899
79591671,RP_071204_04_G06,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,3.263,109.410,4926.952,13,1910
74958626,RP_060315_05_B10,88593,Slc2a13,"solute carrier family 2 (facilitated glucose transporter), member 13",239606,15,coronal,n/a,3.152,165.310,8202.371,13,2033
79556624,RP_071018_03_D08,19462,Reln,reelin,19699,5,coronal,n/a,3.089,110.461,5033.264,13,1830
71016631,RP_050725_03_A12,21801,Trh,thyrotropin releasing hormone,22044,6,coronal,n/a,3.062,183.628,9377.998,13,2033
73931413,RP_051214_04_E05,18335,Pdcd4,programmed cell death 4,18569,19,coronal,n/a,2.936,122.191,4917.493,13,1536
906,RP_Baylor_103008,19777,Rpn2,ribophorin II,20014,2,coronal,n/a,2.901,180.016,9686.197,13,2029
73616034,RP_050818_02_A01,52467,Msi2,Musashi homolog 2 (Drosophila),76626,11,coronal,n/a,2.797,98.701,5517.691,13,2033
2117,RP_Baylor_103298,53910,Cpt1c,carnitine palmitoyltransferase 1c,78070,7,coronal,n/a,2.773,147.262,8305.167,13,2033
1464,RP_040420_01_D05,54669,Tsc22d4,"TSC22 domain family, member 4",78829,5,coronal,n/a,2.745,98.090,5201.468,13,1892
71587885,RP_050725_03_A10,13165,Dlk1,delta-like 1 homolog (Drosophila),13386,12,coronal,n/a,2.645,416.416,24620.186,13,2033
75038402,RP_051206_02_A01,17922,Pnoc,prepronociceptin,18155,14,coronal,n/a,2.635,87.610,6805.188,9,1842
