structureID	level1	level2	level3	level4	level5
1097	grey	BS	HY		
390	grey	BS	HY	PVZ	SO
38	grey	BS	HY	PVZ	PVH
30	grey	BS	HY	PVZ	PVa
118	grey	BS	HY	PVZ	PVi
223	grey	BS	HY	PVZ	ARH
72	grey	BS	HY	PVR	ADP
263	grey	BS	HY	PVR	AVP
272	grey	BS	HY	PVR	AVPV
830	grey	BS	HY	PVR	DMH
452	grey	BS	HY	PVR	MEPO
523	grey	BS	HY	PVR	MPO
914	grey	BS	HY	PVR	PD
1109	grey	BS	HY	PVR	PS
126	grey	BS	HY	PVR	PVp
133	grey	BS	HY	PVR	PVpo
347	grey	BS	HY	PVR	SBPV
286	grey	BS	HY	PVR	SCH
689	grey	BS	HY	PVR	VLPO
88	grey	BS	HY	MEZ	AHN
331	grey	BS	HY	MEZ	MBO
515	grey	BS	HY	MEZ	MPN
980	grey	BS	HY	MEZ	PMd
1004	grey	BS	HY	MEZ	PMv
63	grey	BS	HY	MEZ	PVHd
693	grey	BS	HY	MEZ	VMH
946	grey	BS	HY	MEZ	PH
194	grey	BS	HY	LZ	LHA
226	grey	BS	HY	LZ	LPO
364	grey	BS	HY	LZ	PSTN
800	grey	BS	HY	LZ	RCH
470	grey	BS	HY	LZ	STN
614	grey	BS	HY	LZ	TU
797	grey	BS	HY	LZ	ZI
