id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
70743880,RP_050725_01_H06,52729,Adck4,aarF domain containing kinase 4,76889,7,coronal,n/a,6.447,39.291,2940.617,4,1930
77371865,RP_070129_01_C05,19646,Rora,RAR-related orphan receptor alpha,19883,9,coronal,n/a,5.004,29.566,2803.735,4,1898
71670692,RP_050510_02_F10,22533,Zim1,"zinc finger, imprinted 1",22776,7,coronal,n/a,4.804,129.628,3428.712,16,2033
74882936,RP_060315_04_H08,20287,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1",20525,4,coronal,n/a,4.356,148.182,3983.893,16,1874
79591541,RP_071204_04_B09,12269,Cd24a,CD24a antigen,12484,10,coronal,n/a,3.916,144.753,3705.644,16,1604
70231997,RP_050303_02_F03,14195,Gal,galanin,14419,19,coronal,n/a,3.753,142.895,4837.775,16,2033
71670726,RP_050602_03_F02,120365,Ccdc164,coiled-coil domain containing 164,381738,5,coronal,n/a,3.646,126.812,4419.571,16,2033
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,3.612,207.441,7297.173,16,2033
79591351,RP_071204_02_G03,21136,Tbr1,T-box brain gene 1,21375,2,coronal,n/a,3.522,170.429,6147.896,16,2033
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,3.386,243.959,7829.876,16,1739
74819247,RP_060315_02_C11,50489,S100pbp,S100P binding protein,74648,4,coronal,n/a,3.258,140.237,4374.859,16,1626
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,3.057,151.335,6290.307,16,2033
74047774,RP_051214_01_H11,20495,Spint2,"serine protease inhibitor, Kunitz type 2",20733,7,coronal,n/a,2.856,149.115,6634.774,16,2033
75651169,RP_060518_01_C04,43717,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",67874,2,coronal,n/a,2.847,131.720,5554.928,16,1921
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,2.841,129.531,5794.147,16,2033
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,2.830,260.562,11691.342,16,2032
74581395,RP_060117_02_C04,32920,Hpcal1,hippocalcin-like 1,53602,12,coronal,n/a,2.803,157.614,6888.232,16,1960
73521826,RP_051101_03_B10,93222,Trp53i11,transformation related protein 53 inducible protein 11,277414,2,coronal,n/a,2.691,117.533,5550.405,16,2033
77371813,RP_070116_02_E01,49591,Whrn,whirlin,73750,4,coronal,n/a,2.669,112.916,5302.491,16,2005
75041431,RP_060412_04_B01,53708,Six3os1,Six3 opposite strand transcript 1,100043902,17,coronal,n/a,2.664,123.838,5786.196,15,1867
79556712,RP_071204_01_D11,40873,Ngb,neuroglobin,64242,12,coronal,n/a,2.539,154.636,7731.395,16,2031
73931413,RP_051214_04_E05,18335,Pdcd4,programmed cell death 4,18569,19,coronal,n/a,2.520,129.077,4917.493,16,1536
71016631,RP_050725_03_A12,21801,Trh,thyrotropin releasing hormone,22044,6,coronal,n/a,2.489,183.736,9377.998,16,2033
71920520,RP_051017_02_H01,13163,Mpp3,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)",13384,11,coronal,n/a,2.398,150.379,7089.561,16,1809
1001,RP_Baylor_103041,20366,Sst,somatostatin,20604,16,coronal,n/a,2.392,135.952,7199.483,16,2027
73769324,RP_051121_04_B09,21618,Timp3,tissue inhibitor of metalloproteinase 3,21859,10,coronal,n/a,2.337,213.631,11615.765,16,2033
74988615,RP_060315_05_F08,65876,Numa1,nuclear mitotic apparatus protein 1,101706,7,coronal,n/a,2.329,134.715,7349.085,16,2033
73520985,RP_051101_02_G04,81952,Hpcal4,hippocalcin-like 4,170638,4,coronal,n/a,2.324,162.997,8913.138,16,2033
79488933,RP_070129_01_B05,11534,Anxa5,annexin A5,11747,3,coronal,n/a,2.317,127.343,6300.595,16,1834
75749751,RP_060518_02_E09,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,2.304,212.397,11096.502,16,1926
112202624,RP_110421_01_F02,60343,Klf7,Kruppel-like factor 7 (ubiquitous),93691,1,coronal,n/a,2.284,26.435,5188.248,3,1345
