id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
2325,RP_Baylor_102862,16144,Irx1,Iroquois related homeobox 1 (Drosophila),16371,13,coronal,n/a,3.969,153.165,4698.886,16,1948
74047908,RP_051214_02_C05,21529,Ppp2r5d,"protein phosphatase 2, regulatory subunit B (B56), delta isoform",21770,17,coronal,n/a,3.767,182.483,5749.081,16,1899
74658000,RP_060220_04_C01,106859,Apba1,"amyloid beta (A4) precursor protein binding, family A, member 1",319924,19,coronal,n/a,3.523,131.836,4754.426,16,2033
74357572,RP_050915_03_A02,26694,Vat1,vesicle amine transport protein 1 homolog (T californica),26949,11,coronal,n/a,3.388,61.297,4602.753,7,1781
79912613,RP_080109_03_D06,18312,Pcp4,Purkinje cell protein 4,18546,16,coronal,n/a,3.047,113.321,4214.073,16,1813
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,3.033,341.813,13749.449,16,1952
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,2.908,242.305,16503.998,10,1981
72119649,RP_051017_04_B03,12078,Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,5,coronal,n/a,2.726,254.532,11864.989,16,2033
76135807,RP_060711_03_C03,87555,Rasgrp4,RAS guanyl releasing protein 4,233046,7,coronal,n/a,2.649,146.831,6387.544,16,1844
74273122,RP_050927_02_E07,71746,Col16a1,"collagen, type XVI, alpha 1",107581,4,coronal,n/a,2.626,83.142,7029.232,7,1554
76135815,RP_060711_03_C05,83924,Pknox2,Pbx/knotted 1 homeobox 2,208076,9,coronal,n/a,2.615,134.872,6254.665,16,1940
1988,RP_Baylor_103256,43255,6330407J23Rik,RIKEN cDNA 6330407J23 gene,67412,10,coronal,n/a,2.581,150.555,7203.774,16,1976
2391,RP_040604_01_F12,42292,Pam16,presequence translocase-asssociated motor 16 homolog (S. cerevisiae),66449,16,coronal,n/a,2.561,131.824,6540.496,16,2033
293027,RP_040609_01_E01,47894,Tmub2,transmembrane and ubiquitin-like domain containing 2,72053,11,coronal,n/a,2.547,135.222,5820.437,16,1754
79556672,RP_071204_01_C05,12092,Calb1,calbindin 1,12307,4,coronal,n/a,2.484,308.611,14981.532,16,1929
75080750,RP_060412_04_G11,14554,Gpx3,glutathione peroxidase 3,14778,11,coronal,n/a,2.423,215.602,11065.903,16,1990
74658091,RP_060220_02_C05,68339,Gldc,glycine decarboxylase,104174,19,coronal,n/a,2.385,126.822,6326.678,16,1904
74511884,RP_060117_02_C07,19499,Rgs4,regulator of G-protein signaling 4,19736,1,coronal,n/a,2.382,241.824,12884.404,16,2031
71016653,RP_050725_03_B02,88708,Slc6a7,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7",240332,18,coronal,n/a,2.362,143.004,7689.168,16,2032
