id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
1231,RP_Baylor_102910,17303,Meis2,Meis homeobox 2,17536,2,coronal,n/a,7.015,24.194,2329.247,3,2026
72340125,RP_051101_02_A05,48142,1810041L15Rik,RIKEN cDNA 1810041L15 gene,72301,15,coronal,n/a,5.897,32.578,3721.513,3,2021
73521814,RP_051101_03_A12,18516,Prkcg,"protein kinase C, gamma",18752,7,coronal,n/a,5.491,33.482,4127.760,3,2031
73512364,RP_050816_02_D10,92471,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",268345,10,coronal,n/a,5.477,23.969,2637.213,3,1808
74743283,RP_060220_04_E10,19021,Ptpn4,"protein tyrosine phosphatase, non-receptor type 4",19258,1,coronal,n/a,5.308,25.819,3296.623,3,2033
74819475,RP_060315_02_F08,84270,Lrtm2,leucine-rich repeats and transmembrane domains 2,211187,6,coronal,n/a,5.235,31.580,3933.406,3,1956
70805896,RP_050725_02_E02,50183,Lrrtm1,leucine rich repeat transmembrane neuronal 1,74342,6,coronal,n/a,5.025,24.213,2825.533,3,1759
73769321,RP_051121_04_B06,13769,Khdrbs3,"KH domain containing, RNA binding, signal transduction associated 3",13992,15,coronal,n/a,4.470,33.907,4902.787,3,1939
75774114,RP_060530_01_B10,20649,Sult1a1,"sulfotransferase family 1A, phenol-preferring, member 1",20887,7,coronal,n/a,3.973,36.151,6166.456,3,2033
73592538,RP_051017_01_F03,17686,Myo5b,myosin VB,17919,18,coronal,n/a,3.573,43.914,8304.832,3,2027
1056,RP_Baylor_103073,21582,Th,tyrosine hydroxylase,21823,7,coronal,n/a,3.472,21.874,4086.765,3,1946
890,RP_Baylor_103002,19462,Reln,reelin,19699,5,coronal,n/a,3.420,27.041,5358.599,3,2033
72080207,RP_051017_03_D04,20306,Slc9a1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1",20544,4,coronal,n/a,3.355,51.355,9459.122,3,1854
71015350,RP_050725_02_G06,42290,Mgst3,microsomal glutathione S-transferase 3,66447,1,coronal,n/a,3.132,28.890,6251.956,3,2033
71924214,RP_050607_02_D02,64339,Phactr4,phosphatase and actin regulator 4,100169,4,coronal,n/a,3.123,35.347,7116.430,3,1886
74657981,RP_060119_03_B04,40776,Ralb,v-ral simian leukemia viral oncogene homolog B (ras related),64143,1,coronal,n/a,3.028,36.184,8099.277,3,2033
76135740,RP_060530_02_G05,65148,Nfxl1,"nuclear transcription factor, X-box binding-like 1",100978,5,coronal,n/a,3.001,56.053,11261.711,3,1809
74881855,RP_060315_04_D05,92790,Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5",269608,4,coronal,n/a,2.986,30.105,6832.888,3,2033
79591687,RP_071204_04_H02,106909,Auts2,autism susceptibility candidate 2,319974,5,coronal,n/a,2.933,31.904,5882.115,3,1622
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,2.877,31.978,7531.652,3,2033
73994669,RP_051214_03_E04,14509,Gpc1,glypican 1,14733,1,coronal,n/a,2.760,35.488,5931.800,3,1384
356856,RP_040617_01_H05,87958,Zfp810,zinc finger protein 810,235050,9,coronal,n/a,2.688,22.566,5520.850,3,1973
74425565,RP_051214_02_H06,52660,Fam49a,"family with sequence similarity 49, member A",76820,12,coronal,n/a,2.680,25.964,6232.281,3,1930
112648612,RP_110407_02_D01,47611,Ap2b1,"adaptor-related protein complex 2, beta 1 subunit",71770,11,coronal,n/a,2.654,22.268,4936.708,3,1765
1119,RP_Baylor_103124,22190,Xbp1,X-box binding protein 1,22433,11,coronal,n/a,2.644,24.120,6105.011,3,2008
73929873,RP_051214_03_H06,84896,Zfp365,zinc finger protein 365,216049,10,coronal,n/a,2.639,33.320,8084.129,3,1921
71064082,RP_050725_03_D01,88013,Scn3b,"sodium channel, voltage-gated, type III, beta",235281,9,coronal,n/a,2.612,36.596,9495.075,3,2033
75147765,RP_060207_02_A12,92471,Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",268345,10,coronal,n/a,2.549,40.906,9558.782,3,1787
79591669,RP_071018_02_B07,14193,Gad2,glutamic acid decarboxylase 2,14417,2,coronal,n/a,2.517,106.210,23437.820,3,1666
1026,RP_Baylor_103054,20742,Syt3,synaptotagmin III,20981,7,coronal,n/a,2.488,26.347,7176.885,3,2033
75042239,RP_051219_02_C01,120603,Cdkl5,cyclin-dependent kinase-like 5,382253,X,coronal,n/a,2.468,21.473,5896.499,3,2033
