id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,6.235,604.229,7297.173,27,2033
70743880,RP_050725_01_H06,52729,Adck4,aarF domain containing kinase 4,76889,7,coronal,n/a,5.041,99.853,2940.617,13,1930
71670692,RP_050510_02_F10,22533,Zim1,"zinc finger, imprinted 1",22776,7,coronal,n/a,4.750,216.302,3428.712,27,2033
75080999,RP_060412_04_H04,12096,Calcr,calcitonin receptor,12311,6,coronal,n/a,4.009,189.982,2810.083,27,1601
70231997,RP_050303_02_F03,14195,Gal,galanin,14419,19,coronal,n/a,3.941,253.219,4837.775,27,2033
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,3.257,395.907,7829.876,27,1739
77371813,RP_070116_02_E01,49591,Whrn,whirlin,73750,4,coronal,n/a,3.213,229.431,5302.491,27,2005
75041431,RP_060412_04_B01,53708,Six3os1,Six3 opposite strand transcript 1,100043902,17,coronal,n/a,3.092,249.134,5786.196,26,1867
74511849,RP_060220_03_B10,43708,Rgs10,regulator of G-protein signalling 10,67865,7,coronal,n/a,3.078,270.469,6616.870,27,2033
72340109,RP_051101_02_A02,19040,Ptpro,"protein tyrosine phosphatase, receptor type, O",19277,6,coronal,n/a,3.045,236.418,5431.284,27,1889
71836875,RP_051017_02_E05,43717,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",67874,2,coronal,n/a,3.034,302.710,7512.051,27,2033
79591687,RP_071204_04_H02,106909,Auts2,autism susceptibility candidate 2,319974,5,coronal,n/a,3.019,142.312,5882.115,13,1622
79556712,RP_071204_01_D11,40873,Ngb,neuroglobin,64242,12,coronal,n/a,2.982,306.489,7731.395,27,2031
71924239,RP_050609_01_B04,84240,Unc5d,unc-5 homolog D (C. elegans),210801,8,coronal,n/a,2.948,233.717,5969.564,27,2033
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,2.944,245.969,6290.307,27,2033
79591351,RP_071204_02_G03,21136,Tbr1,T-box brain gene 1,21375,2,coronal,n/a,2.931,239.282,6147.896,27,2033
74819247,RP_060315_02_C11,50489,S100pbp,S100P binding protein,74648,4,coronal,n/a,2.833,205.832,4374.859,27,1626
75651169,RP_060518_01_C04,43717,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",67874,2,coronal,n/a,2.697,210.540,5554.928,27,1921
70560278,RP_050331_01_A07,52047,Gpr165,G protein-coupled receptor 165,76206,X,coronal,n/a,2.592,570.352,16571.004,27,2033
1357,RP_Baylor_253913,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,2.589,239.748,6926.787,27,2020
74581395,RP_060117_02_C04,32920,Hpcal1,hippocalcin-like 1,53602,12,coronal,n/a,2.544,241.428,6888.232,27,1960
71920520,RP_051017_02_H01,13163,Mpp3,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)",13384,11,coronal,n/a,2.536,268.344,7089.561,27,1809
77280419,RP_070116_01_E02,87074,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,230649,4,coronal,n/a,2.418,234.523,7177.750,27,1998
73931413,RP_051214_04_E05,18335,Pdcd4,programmed cell death 4,18569,19,coronal,n/a,2.405,207.927,4917.493,27,1536
71920521,RP_051017_02_H02,73364,Sobp,sine oculis-binding protein homolog (Drosophila),109205,10,coronal,n/a,2.400,327.233,9878.645,27,1956
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,2.397,539.078,16503.998,27,1981
