id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
72109337,RP_050706_04_G01,130860,Gm5607,predicted gene 5607,434280,8,coronal,n/a,5.919,21.954,2824.559,2,1523
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,5.726,103.120,7829.876,4,1739
73519705,RP_050915_03_G11,14700,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",14924,6,coronal,n/a,5.586,49.617,3421.781,4,1541
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,4.931,61.022,6290.307,4,2033
74274689,RP_050927_04_E12,46078,Bhlhb9,"basic helix-loop-helix domain containing, class B9",70237,X,coronal,n/a,4.853,57.845,5500.687,4,1846
74581441,RP_060220_04_H02,88955,Palm2,paralemmin 2,242481,4,coronal,n/a,3.820,31.977,3930.297,4,1878
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,3.341,49.504,7531.652,4,2033
527,RP_Baylor_253919,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,3.178,37.125,5840.986,4,2000
74988710,RP_060315_04_A09,14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,6,coronal,n/a,2.895,50.129,7952.493,4,1837
74819329,RP_060315_02_E05,84756,Vezt,"vezatin, adherens junctions transmembrane protein",215008,10,coronal,n/a,2.810,17.711,5335.863,2,1693
544328,RP_040625_01_H06,69818,Phyhip,phytanoyl-CoA hydroxylase interacting protein,105653,14,coronal,n/a,2.729,43.601,8120.326,4,2033
67870081,RP_041018_01_C05,70000,Sgsm3,small G protein signaling modulator 3,105835,15,coronal,n/a,2.563,34.890,6412.115,4,1884
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,2.461,71.033,14669.654,4,2033
170,RP_Baylor_103000,19410,Rbbp6,retinoblastoma binding protein 6,19647,7,coronal,n/a,2.352,43.807,9169.259,4,1969
72119650,RP_051017_04_B04,36087,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2",56808,9,coronal,n/a,2.323,35.607,7564.956,4,1974
75934917,RP_060530_01_E09,42027,Rps4y2,"ribosomal protein S4, Y-linked 2",66184,6,coronal,n/a,2.313,34.997,14283.187,2,1888
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,2.272,32.623,7297.173,4,2033
79568020,RP_071204_02_A11,35770,Zbtb20,zinc finger and BTB domain containing 20,56490,16,coronal,n/a,2.258,46.930,9797.617,4,1886
323597,RP_040609_01_H01,22185,Dctn6,dynactin 6,22428,8,coronal,n/a,2.207,33.394,7456.796,4,1971
74988721,RP_060315_04_A11,44637,Ubr3,ubiquitin protein ligase E3 component n-recognin 3,68795,2,coronal,n/a,2.115,41.438,9950.812,4,2032
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,2.105,124.102,29442.742,4,1998
74511818,RP_060220_03_B06,16347,Kif5c,kinesin family member 5C,16574,2,coronal,n/a,2.071,56.686,13911.689,4,2033
2234,RP_040526_01_E10,72133,Frs3,fibroblast growth factor receptor substrate 3,107971,17,coronal,n/a,2.020,46.361,11536.211,4,2011
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,1.974,50.399,12088.510,4,1894
75042240,RP_051219_02_C02,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.969,65.276,16851.326,4,2033
73907499,RP_051214_03_A05,88952,Grin3a,"glutamate receptor ionotropic, NMDA3A",242443,4,coronal,n/a,1.965,16.723,8307.921,2,1952
2363,RP_Baylor_103308,60388,Aff4,"AF4/FMR2 family, member 4",93736,11,coronal,n/a,1.959,29.939,7765.962,4,2033
323595,RP_040609_01_G11,43373,Uqcrb,ubiquinol-cytochrome c reductase binding protein,67530,13,coronal,n/a,1.954,71.381,15889.479,4,1740
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,1.937,44.569,11691.342,4,2032
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.907,59.562,15775.811,4,2020
