id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
112648396,RP_081204_02_B07,18196,Oxt,oxytocin,18429,2,coronal,n/a,5.867,86.829,3494.733,8,1889
77371865,RP_070129_01_C05,19646,Rora,RAR-related orphan receptor alpha,19883,9,coronal,n/a,5.549,163.931,2803.735,20,1898
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,4.177,238.077,5794.147,20,2033
75651126,RP_060220_05_E08,17780,Neurod2,neurogenic differentiation 2,18013,11,coronal,n/a,3.980,153.750,4027.686,12,1251
74047774,RP_051214_01_H11,20495,Spint2,"serine protease inhibitor, Kunitz type 2",20733,7,coronal,n/a,3.800,248.050,6634.774,20,2033
79591541,RP_071204_04_B09,12269,Cd24a,CD24a antigen,12484,10,coronal,n/a,3.548,98.370,3705.644,12,1604
77280331,RP_070116_01_B06,20436,Sox2,SRY-box containing gene 2,20674,3,coronal,n/a,3.454,226.229,5275.552,20,1611
71016631,RP_050725_03_A12,21801,Trh,thyrotropin releasing hormone,22044,6,coronal,n/a,3.195,294.767,9377.998,20,2033
75145999,RP_060220_02_B05,86234,Lims2,LIM and senescent cell antigen like domains 2,225341,18,coronal,n/a,2.849,148.038,4648.349,20,1789
79568020,RP_071204_02_A11,35770,Zbtb20,zinc finger and BTB domain containing 20,56490,16,coronal,n/a,2.664,276.815,9797.617,20,1886
234,RP_Baylor_102674,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,2.590,256.677,10052.590,20,2029
2167,RP_Baylor_102792,14133,Dtx1,deltex 1 homolog (Drosophila),14357,5,coronal,n/a,2.590,246.103,9145.872,20,1925
71015815,RP_050725_02_H11,14542,Gpr56,G protein-coupled receptor 56,14766,8,coronal,n/a,2.543,121.437,6102.442,14,1789
75773703,RP_060530_01_A09,43716,Mri1,methylthioribose-1-phosphate isomerase homolog (S. cerevisiae),67873,8,coronal,n/a,2.515,156.343,4516.876,18,1308
75651139,RP_060518_01_A02,11839,Bcl6,B cell leukemia/lymphoma 6,12053,16,coronal,n/a,2.452,153.982,5757.890,20,1834
74881855,RP_060315_04_D05,92790,Plekhg5,"pleckstrin homology domain containing, family G (with RhoGef domain) member 5",269608,4,coronal,n/a,2.431,163.408,6832.888,20,2033
75038402,RP_051206_02_A01,17922,Pnoc,prepronociceptin,18155,14,coronal,n/a,2.431,71.848,6805.188,8,1842
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,2.365,697.123,29442.742,20,1998
2285,RP_040507_01_D06,14967,Hdgf,hepatoma-derived growth factor,15191,3,coronal,n/a,2.353,257.175,11068.080,20,2025
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,2.343,234.345,10025.902,20,2005
70743844,RP_050610_01_A01,87854,Cpne2,copine II,234577,8,coronal,n/a,2.324,238.753,10444.777,20,2033
77371867,RP_070129_01_D09,19487,Rfx1,"regulatory factor X, 1 (influences HLA class II expression)",19724,8,coronal,n/a,2.291,142.671,5703.097,20,1832
74988456,RP_060315_05_D11,14975,Hebp1,heme binding protein 1,15199,6,coronal,n/a,2.290,161.781,7179.872,20,2033
74658171,RP_060220_02_C12,84814,Gtdc2,glycosyltransferase-like domain containing 2,215494,9,coronal,n/a,2.221,162.176,7879.316,18,1942
1988,RP_Baylor_103256,43255,6330407J23Rik,RIKEN cDNA 6330407J23 gene,67412,10,coronal,n/a,2.195,160.017,7203.774,20,1976
