id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
73817925,RP_050927_01_A02,16272,Kcnab3,"potassium voltage-gated channel, shaker-related subfamily, beta member 3",16499,11,coronal,n/a,4.207,213.949,4922.748,21,2033
72129295,RP_051017_03_F11,82023,Oxr1,oxidation resistance 1,170719,15,coronal,n/a,3.920,189.465,4797.157,19,1886
73635989,RP_051101_03_D01,121315,Fndc5,fibronectin type III domain containing 5,384061,4,coronal,n/a,3.893,173.936,4325.902,21,2033
73994714,RP_051214_03_E09,16258,Kcna1,"potassium voltage-gated channel, shaker-related subfamily, member 1",16485,6,coronal,n/a,3.102,148.514,4634.390,21,2033
1205,RP_040324_01_D01,42935,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),67092,2,coronal,n/a,3.101,258.074,7994.025,21,2017
73636098,RP_050825_02_B06,15335,Htr2c,5-hydroxytryptamine (serotonin) receptor 2C,15560,X,coronal,n/a,3.097,160.275,5009.429,21,2033
74641307,RP_060220_05_H03,12647,Cox6c,"cytochrome c oxidase, subunit VIc",12864,15,coronal,n/a,2.847,252.668,8117.320,21,1921
1357,RP_Baylor_253913,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,2.815,202.682,6926.787,21,2020
74357581,RP_051005_03_C11,120261,Pdp1,pyruvate dehyrogenase phosphatase catalytic subunit 1,381511,4,coronal,n/a,2.806,162.707,5292.363,21,1917
72104185,RP_050927_01_G06,11352,Adssl1,adenylosuccinate synthetase like 1,11565,12,coronal,n/a,2.777,152.982,5333.229,21,2033
73512185,RP_050705_01_B04,14942,Hcn2,"hyperpolarization-activated, cyclic nucleotide-gated K+ 2",15166,10,coronal,n/a,2.704,210.842,7001.635,21,1886
71015350,RP_050725_02_G06,42290,Mgst3,microsomal glutathione S-transferase 3,66447,1,coronal,n/a,2.608,168.441,6251.956,21,2033
2129,RP_Baylor_102712,12790,Csrp1,cysteine and glycine-rich protein 1,13007,1,coronal,n/a,2.601,197.546,7136.514,21,1973
73907494,RP_050927_02_E03,20212,St8sia1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",20449,6,coronal,n/a,2.525,209.900,7128.583,21,1801
72103808,RP_051017_03_D06,50437,Cds1,CDP-diacylglycerol synthase 1,74596,5,coronal,n/a,2.390,203.116,8227.434,21,2033
72108825,RP_050705_02_H01,16275,Kcnc1,"potassium voltage gated channel, Shaw-related subfamily, member 1",16502,7,coronal,n/a,2.373,351.331,14331.160,21,2033
73521001,RP_051101_02_H08,18245,Pak1,p21 protein (Cdc42/Rac)-activated kinase 1,18479,7,coronal,n/a,2.343,128.668,6860.735,15,1874
73817434,RP_051101_01_A10,17807,Nefm,"neurofilament, medium polypeptide",18040,14,coronal,n/a,2.322,490.326,20447.061,21,2033
76115740,RP_060620_02_C08,33974,Prdx5,peroxiredoxin 5,54683,19,coronal,n/a,2.279,254.397,10377.841,21,1952
73769326,RP_051121_04_B11,35974,Pnkd,paroxysmal nonkinesiogenic dyskinesia,56695,1,coronal,n/a,2.278,248.638,9983.046,21,1921
71924386,RP_050623_02_H11,86194,Dlgap1,"discs, large (Drosophila) homolog-associated protein 1",224997,17,coronal,n/a,2.222,150.520,6557.404,21,2033
74047788,RP_051214_02_A04,26798,Asns,asparagine synthetase,27053,6,coronal,n/a,2.200,200.559,8421.333,21,1940
74512048,RP_060220_03_D07,119884,Nefh,"neurofilament, heavy polypeptide",380684,11,coronal,n/a,2.197,272.348,12000.947,21,2033
71670700,RP_050512_04_F05,47528,Tmem25,transmembrane protein 25,71687,9,coronal,n/a,2.195,177.521,7830.270,21,2033
72103819,RP_051017_03_D08,84001,Diras1,"DIRAS family, GTP-binding RAS-like 1",208666,10,coronal,n/a,2.184,206.009,8629.863,21,1921
121089,RP_040428_01_C09,22116,Vldlr,very low density lipoprotein receptor,22359,19,coronal,n/a,2.149,41.472,5809.764,3,903
73817435,RP_051101_01_A11,18818,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform",19055,3,coronal,n/a,2.144,154.635,6975.781,21,2031
