id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
71016663,RP_050725_03_B03,14962,Hdc,histidine decarboxylase,15186,2,coronal,n/a,9.555,203.278,2059.679,21,2033
73992715,RP_051214_01_E07,12297,Cd63,CD63 antigen,12512,10,coronal,n/a,6.368,254.377,3867.418,21,2033
74881161,RP_060220_01_A10,22150,Wfs1,Wolfram syndrome 1 homolog (human),22393,5,coronal,n/a,6.164,290.008,4554.560,21,2033
1500,RP_Baylor_102796,14143,Fzd5,frizzled homolog 5 (Drosophila),14367,1,coronal,n/a,5.552,161.768,2798.578,21,2017
74047908,RP_051214_02_C05,21529,Ppp2r5d,"protein phosphatase 2, regulatory subunit B (B56), delta isoform",21770,17,coronal,n/a,5.032,319.931,5749.081,21,1899
75749417,RP_060606_03_A01,14180,Gabre,"gamma-aminobutyric acid (GABA) A receptor, subunit epsilon",14404,X,coronal,n/a,4.842,169.414,3387.267,21,2033
71670726,RP_050602_03_F02,120365,Ccdc164,coiled-coil domain containing 164,381738,5,coronal,n/a,4.592,209.637,4419.571,21,2033
79912613,RP_080109_03_D06,18312,Pcp4,Purkinje cell protein 4,18546,16,coronal,n/a,4.516,157.450,4214.073,15,1813
75651126,RP_060220_05_E08,17780,Neurod2,neurogenic differentiation 2,18013,11,coronal,n/a,4.455,215.145,4027.686,15,1251
70612727,RP_050725_01_C05,44179,Crip2,cysteine rich protein 2,68337,12,coronal,n/a,3.862,182.887,4584.695,21,2033
75081394,RP_051206_02_E12,82865,Tmem47,transmembrane protein 47,192216,X,coronal,n/a,3.589,210.285,5672.615,21,2033
73787952,RP_051213_01_A04,85210,Dgkb,"diacylglycerol kinase, beta",217480,12,coronal,n/a,3.491,320.200,8879.623,21,2033
72080155,RP_051017_03_C11,15304,Sdc2,syndecan 2,15529,15,coronal,n/a,3.474,208.421,5796.248,21,2029
2325,RP_Baylor_102862,16144,Irx1,Iroquois related homeobox 1 (Drosophila),16371,13,coronal,n/a,3.346,169.516,4698.886,21,1948
77371867,RP_070129_01_D09,19487,Rfx1,"regulatory factor X, 1 (influences HLA class II expression)",19724,8,coronal,n/a,3.233,211.363,5703.097,21,1832
2444,RP_040604_01_E05,50008,Nudt9,nudix (nucleoside diphosphate linked moiety X)-type motif 9,74167,5,coronal,n/a,3.212,419.980,12644.747,21,2031
75077281,RP_060412_02_E12,47501,Rarres2,retinoic acid receptor responder (tazarotene induced) 2,71660,6,coronal,n/a,3.200,191.517,5794.147,21,2033
74047774,RP_051214_01_H11,20495,Spint2,"serine protease inhibitor, Kunitz type 2",20733,7,coronal,n/a,3.184,218.226,6634.774,21,2033
75774664,RP_060530_01_C01,144509,Arhgap27,Rho GTPase activating protein 27,544817,11,coronal,n/a,3.182,234.404,6251.444,21,1782
67881554,RP_041018_01_E11,43392,Gpr89,G protein-coupled receptor 89,67549,3,coronal,n/a,3.158,113.766,4066.242,15,1693
293036,RP_040609_01_E11,29929,Pttg1,pituitary tumor-transforming gene 1,30939,11,coronal,n/a,3.116,139.843,4487.560,17,1700
72077479,RP_051017_03_B03,26965,Cartpt,CART prepropeptide,27220,13,coronal,n/a,3.094,188.358,5403.788,21,1864
73817988,RP_051214_01_B02,18814,Ppp1r17,"protein phosphatase 1, regulatory subunit 17",19051,6,coronal,n/a,2.969,206.843,6744.790,21,2033
74047778,RP_051214_02_A03,33445,Dnalc4,"dynein, axonemal, light chain 4",54152,15,coronal,n/a,2.961,343.435,11226.689,21,2033
75749739,RP_060518_02_E07,48673,Crtac1,cartilage acidic protein 1,72832,19,coronal,n/a,2.947,147.259,4218.223,21,1773
73520985,RP_051101_02_G04,81952,Hpcal4,hippocalcin-like 4,170638,4,coronal,n/a,2.928,269.540,8913.138,21,2033
73592530,RP_051017_01_E06,15784,Igfbp5,insulin-like growth factor binding protein 5,16011,1,coronal,n/a,2.846,350.928,11935.575,21,2033
79488933,RP_070129_01_B05,11534,Anxa5,annexin A5,11747,3,coronal,n/a,2.753,160.806,6300.595,17,1834
74658091,RP_060220_02_C05,68339,Gldc,glycine decarboxylase,104174,19,coronal,n/a,2.730,136.076,6326.678,15,1904
79568020,RP_071204_02_A11,35770,Zbtb20,zinc finger and BTB domain containing 20,56490,16,coronal,n/a,2.673,291.635,9797.617,21,1886
75080750,RP_060412_04_G11,14554,Gpx3,glutathione peroxidase 3,14778,11,coronal,n/a,2.615,305.380,11065.903,21,1990
74819253,RP_060315_02_D05,130948,LOC434368,similar to mastermind-like 2; mastermind (Drosophila)-like 2,434368,9,coronal,n/a,2.599,184.434,7237.445,17,1734
323588,RP_040609_01_G01,16636,Eif2d,eukaryotic translation initiation factor 2D,16865,1,coronal,n/a,2.576,131.182,5436.127,17,1815
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,2.537,147.937,16503.998,7,1981
75651165,RP_060518_01_A09,86161,Trerf1,transcriptional regulating factor 1,224829,17,coronal,n/a,2.524,227.158,8666.038,21,2022
71249739,RP_050414_03_H02,47164,Rassf8,Ras association (RalGDS/AF-6) domain family (N-terminal) member 8,71323,6,coronal,n/a,2.515,222.444,8561.093,21,2033
356857,RP_040617_01_H06,18968,Ptbp1,polypyrimidine tract binding protein 1,19205,10,coronal,n/a,2.511,325.095,12531.417,21,2033
75651139,RP_060518_01_A02,11839,Bcl6,B cell leukemia/lymphoma 6,12053,16,coronal,n/a,2.462,162.301,5757.890,21,1834
293027,RP_040609_01_E01,47894,Tmub2,transmembrane and ubiquitin-like domain containing 2,72053,11,coronal,n/a,2.429,169.274,5820.437,21,1754
75988622,RP_060620_02_E03,85210,Dgkb,"diacylglycerol kinase, beta",217480,12,coronal,n/a,2.418,198.262,7575.648,21,1940
75081206,RP_060315_03_C11,144469,Baiap3,BAI1-associated protein 3,545192,17,coronal,n/a,2.373,483.209,19716.936,21,2033
74641324,RP_060220_02_F01,54624,Celf3,"CUGBP, Elav-like family member 3",78784,3,coronal,n/a,2.299,333.725,14038.954,21,2031
74581367,RP_050921_01_H11,60347,Gpnmb,glycoprotein (transmembrane) nmb,93695,6,coronal,n/a,2.299,490.468,20653.494,21,2033
355892,RP_040617_01_F11,12918,Dag1,dystroglycan 1,13138,9,coronal,n/a,2.291,384.683,15833.371,21,1980
74425548,RP_051214_02_G09,52893,Sun1,Sad1 and UNC84 domain containing 1,77053,5,coronal,n/a,2.282,184.413,10183.531,15,1890
73636029,RP_050816_02_G03,108506,Vwa5b2,von Willebrand factor A domain containing 5B2,328643,16,coronal,n/a,2.245,153.103,6603.228,21,2033
67809267,RP_040922_01_E11,77316,Clic1,chloride intracellular channel 1,114584,17,coronal,n/a,2.225,273.865,11868.675,21,2025
73521821,RP_051101_03_B05,32330,Sgsm1,small G protein signaling modulator 1,52850,5,coronal,n/a,2.196,392.137,16786.840,21,1974
71836797,RP_051017_02_A05,87709,Spon1,"spondin 1, (f-spondin) extracellular matrix protein",233744,7,coronal,n/a,2.178,339.342,15084.144,21,2033
1237,RP_Baylor_103165,29546,Ndrg2,N-myc downstream regulated gene 2,29811,14,coronal,n/a,2.171,348.643,15467.993,21,2023
2222,RP_Baylor_253908,60876,Fkbp6,FK506 binding protein 6,94244,5,coronal,n/a,2.155,344.191,15402.108,21,2025
79490122,RP_071018_01_G03,12107,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,12322,18,coronal,n/a,2.137,328.135,14862.019,21,2033
