id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,7.009,151.805,6290.307,7,2033
73519705,RP_050915_03_G11,14700,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",14924,6,coronal,n/a,6.574,102.186,3421.781,7,1541
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,4.889,154.090,7829.876,7,1739
74743255,RP_060220_04_E01,17676,Myo10,myosin X,17909,15,coronal,n/a,4.338,53.613,2722.311,7,1542
74819258,RP_060315_02_D10,30273,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,50785,1,coronal,n/a,4.267,65.928,4486.821,7,2033
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,4.098,102.953,7297.173,7,2033
74511849,RP_060220_03_B10,43708,Rgs10,regulator of G-protein signalling 10,67865,7,coronal,n/a,3.822,87.066,6616.870,7,2033
74581441,RP_060220_04_H02,88955,Palm2,paralemmin 2,242481,4,coronal,n/a,3.764,55.147,3930.297,7,1878
79591541,RP_071204_04_B09,12269,Cd24a,CD24a antigen,12484,10,coronal,n/a,3.651,59.050,3705.644,7,1604
79912613,RP_080109_03_D06,18312,Pcp4,Purkinje cell protein 4,18546,16,coronal,n/a,3.591,58.420,4214.073,7,1813
79591351,RP_071204_02_G03,21136,Tbr1,T-box brain gene 1,21375,2,coronal,n/a,3.454,73.107,6147.896,7,2033
70612727,RP_050725_01_C05,44179,Crip2,cysteine rich protein 2,68337,12,coronal,n/a,3.262,51.494,4584.695,7,2033
75147762,RP_060412_03_A04,17892,Nos1,"nitric oxide synthase 1, neuronal",18125,5,coronal,n/a,3.207,63.231,5725.942,7,2033
890,RP_Baylor_103002,19462,Reln,reelin,19699,5,coronal,n/a,3.006,55.466,5358.599,7,2033
793,RP_Baylor_102956,18393,Per2,period homolog 2 (Drosophila),18627,1,coronal,n/a,2.872,81.643,8257.090,7,2033
70612726,RP_050725_01_C04,30401,Galns,galactosamine (N-acetyl)-6-sulfate sulfatase,50917,8,coronal,n/a,2.811,81.652,8424.609,7,2030
73931413,RP_051214_04_E05,18335,Pdcd4,programmed cell death 4,18569,19,coronal,n/a,2.773,26.630,4917.493,3,1536
67870081,RP_041018_01_C05,70000,Sgsm3,small G protein signaling modulator 3,105835,15,coronal,n/a,2.763,65.831,6412.115,7,1884
79556712,RP_071204_01_D11,40873,Ngb,neuroglobin,64242,12,coronal,n/a,2.702,72.006,7731.395,7,2031
70232000,RP_050303_02_H03,18895,Prph,peripherin,19132,15,coronal,n/a,2.699,54.310,5843.292,7,2033
75651126,RP_060220_05_E08,17780,Neurod2,neurogenic differentiation 2,18013,11,coronal,n/a,2.644,59.586,4027.686,7,1251
75651139,RP_060518_01_A02,11839,Bcl6,B cell leukemia/lymphoma 6,12053,16,coronal,n/a,2.593,56.984,5757.890,7,1834
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,2.588,115.608,12088.510,7,1894
1504,RP_040420_01_E06,35214,Hes6,hairy and enhancer of split 6 (Drosophila),55927,1,coronal,n/a,2.437,113.237,13497.463,7,2033
76135815,RP_060711_03_C05,83924,Pknox2,Pbx/knotted 1 homeobox 2,208076,9,coronal,n/a,2.432,54.875,6254.665,7,1940
74958587,RP_060315_05_B07,84016,Sned1,"sushi, nidogen and EGF-like domains 1",208777,1,coronal,n/a,2.167,60.250,6143.337,7,1547
199393,RP_040507_02_E12,21691,Tnfrsf11a,"tumor necrosis factor receptor superfamily, member 11a",21934,1,coronal,n/a,2.153,90.377,10667.096,6,1525
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,2.074,83.531,11691.342,7,2032
74819690,RP_060315_02_H06,12541,Clta,"clathrin, light polypeptide (Lca)",12757,4,coronal,n/a,2.042,141.827,20167.857,7,2033
72103854,RP_051017_03_A04,33296,Nell2,NEL-like 2 (chicken),54003,15,coronal,n/a,2.030,183.264,26217.107,7,2033
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,2.022,117.932,16503.998,7,1981
72472769,RP_051101_02_D01,47883,Cotl1,coactosin-like 1 (Dictyostelium),72042,8,coronal,n/a,2.018,59.766,8601.203,7,2033
74581395,RP_060117_02_C04,32920,Hpcal1,hippocalcin-like 1,53602,12,coronal,n/a,2.010,49.449,6888.232,7,1960
73788105,RP_051213_01_A11,20324,Slit1,slit homolog 1 (Drosophila),20562,19,coronal,n/a,1.980,95.984,14078.070,7,2033
74743293,RP_060220_04_E11,19022,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5",19259,7,coronal,n/a,1.976,120.243,17673.369,7,2033
71358557,RP_050725_03_E06,22117,Nrsn1,neurensin 1,22360,13,coronal,n/a,1.965,150.415,22225.918,7,2033
79591573,RP_071204_04_C03,19435,Rcn1,reticulocalbin 1,19672,2,coronal,n/a,1.964,64.916,8877.012,7,1880
275874,RP_040604_02_F08,35638,Copz2,"coatomer protein complex, subunit zeta 2",56358,11,coronal,n/a,1.962,101.040,13566.208,7,1844
71249740,RP_050414_04_A03,107813,Mical2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",320878,7,coronal,n/a,1.961,53.226,7883.141,7,2033
75042248,RP_060412_02_C01,13227,Dok1,docking protein 1,13448,6,coronal,n/a,1.927,253.517,36773.805,7,1957
71836875,RP_051017_02_E05,43717,Rprm,"reprimo, TP53 dependent G2 arrest mediator candidate",67874,2,coronal,n/a,1.915,49.528,7512.051,7,2033
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,1.899,49.258,7531.652,7,2033
72338724,RP_051101_01_C06,120058,LOC381076,"gene model 937, (NCBI)",381076,17,coronal,n/a,1.899,111.972,17122.529,7,2033
74988710,RP_060315_04_A09,14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,6,coronal,n/a,1.888,57.201,7952.493,7,1837
74881144,RP_060220_01_A02,37594,Chst12,carbohydrate sulfotransferase 12,59031,5,coronal,n/a,1.887,63.514,9775.523,7,2033
73930821,RP_051214_04_C05,157714,Kalrn,"kalirin, RhoGEF kinase",545156,16,coronal,n/a,1.885,58.885,9071.332,7,2033
74586669,RP_051214_01_B09,108965,Ctxn1,cortexin 1,330695,8,coronal,n/a,1.855,115.468,18074.596,7,2033
74641324,RP_060220_02_F01,54624,Celf3,"CUGBP, Elav-like family member 3",78784,3,coronal,n/a,1.843,89.158,14038.954,7,2031
72128746,RP_051017_04_C02,49569,Psd,pleckstrin and Sec7 domain containing,73728,19,coronal,n/a,1.832,104.288,16439.113,7,2022
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.818,99.410,15775.811,7,2020
45841,RP_040324_01_H08,52060,Arxes1,adipocyte-related X-chromosome expressed sequence 1,76219,X,coronal,n/a,1.801,86.113,13883.806,7,2033
