id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
131,RP_Baylor_102643,11784,Avp,arginine vasopressin,11998,2,coronal,n/a,6.150,45.839,2396.196,6,1929
72109337,RP_050706_04_G01,130860,Gm5607,predicted gene 5607,434280,8,coronal,n/a,5.954,22.084,2824.559,2,1523
73519705,RP_050915_03_G11,14700,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",14924,6,coronal,n/a,5.371,71.559,3421.781,6,1541
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,5.194,96.433,6290.307,6,2033
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,5.167,139.597,7829.876,6,1739
74581441,RP_060220_04_H02,88955,Palm2,paralemmin 2,242481,4,coronal,n/a,4.422,55.525,3930.297,6,1878
383,RP_Baylor_102748,13418,Efna5,ephrin A5,13640,17,coronal,n/a,4.179,73.154,5931.322,6,2033
527,RP_Baylor_253919,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,4.037,70.747,5840.986,6,2000
74819258,RP_060315_02_D10,30273,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,50785,1,coronal,n/a,3.399,45.006,4486.821,6,2033
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,3.253,70.048,7297.173,6,2033
71358616,RP_050725_03_F03,52024,Celf6,"CUGBP, Elav-like family member 6",76183,9,coronal,n/a,3.189,47.181,5013.783,6,2033
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,3.000,66.688,7531.652,6,2033
74274689,RP_050927_04_E12,46078,Bhlhb9,"basic helix-loop-helix domain containing, class B9",70237,X,coronal,n/a,2.521,45.070,5500.687,6,1846
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,2.512,86.726,11691.342,6,2032
70612726,RP_050725_01_C04,30401,Galns,galactosamine (N-acetyl)-6-sulfate sulfatase,50917,8,coronal,n/a,2.456,61.160,8424.609,6,2030
74988710,RP_060315_04_A09,14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,6,coronal,n/a,2.416,62.752,7952.493,6,1837
112197858,RP_110421_01_F04,26175,Creb3l1,cAMP responsive element binding protein 3-like 1,26427,2,coronal,n/a,2.388,14.865,3984.337,2,1280
323597,RP_040609_01_H01,22185,Dctn6,dynactin 6,22428,8,coronal,n/a,2.369,53.774,7456.796,6,1971
67870081,RP_041018_01_C05,70000,Sgsm3,small G protein signaling modulator 3,105835,15,coronal,n/a,2.351,48.009,6412.115,6,1884
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,2.323,100.571,14669.654,6,2033
74581395,RP_060117_02_C04,32920,Hpcal1,hippocalcin-like 1,53602,12,coronal,n/a,2.254,47.538,6888.232,6,1960
75934917,RP_060530_01_E09,42027,Rps4y2,"ribosomal protein S4, Y-linked 2",66184,6,coronal,n/a,2.247,67.996,14283.187,4,1888
549,RP_040227_01_07,14890,Hap1,huntingtin-associated protein 1,15114,11,coronal,n/a,2.233,197.474,29442.742,6,1998
79556666,RP_071204_01_B10,12343,Cdh2,cadherin 2,12558,18,coronal,n/a,2.085,80.262,13019.462,6,2029
770,RP_Baylor_103306,60376,Pcdhga12,"protocadherin gamma subfamily A, 12",93724,18,coronal,n/a,2.024,63.460,10426.579,6,1995
2363,RP_Baylor_103308,60388,Aff4,"AF4/FMR2 family, member 4",93736,11,coronal,n/a,1.998,45.786,7765.962,6,2033
1988,RP_Baylor_103256,43255,6330407J23Rik,RIKEN cDNA 6330407J23 gene,67412,10,coronal,n/a,1.981,43.328,7203.774,6,1976
323595,RP_040609_01_G11,43373,Uqcrb,ubiquinol-cytochrome c reductase binding protein,67530,13,coronal,n/a,1.969,107.873,15889.479,6,1740
72472769,RP_051101_02_D01,47883,Cotl1,coactosin-like 1 (Dictyostelium),72042,8,coronal,n/a,1.926,48.893,8601.203,6,2033
170,RP_Baylor_103000,19410,Rbbp6,retinoblastoma binding protein 6,19647,7,coronal,n/a,1.906,53.242,9169.259,6,1969
74724670,RP_060220_04_A11,82624,Gpr37l1,G protein-coupled receptor 37-like 1,171469,1,coronal,n/a,1.895,71.908,12860.536,6,2033
976,RP_Baylor_103192,33176,Slc5a3,"solute carrier family 5 (inositol transporters), member 3",53881,16,coronal,n/a,1.893,43.071,7699.881,6,2031
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,1.893,72.491,12088.510,6,1894
670,RP_Baylor_102908,17125,Marcksl1,MARCKS-like 1,17357,4,coronal,n/a,1.879,62.257,10611.998,6,1922
79591669,RP_071018_02_B07,14193,Gad2,glutamic acid decarboxylase 2,14417,2,coronal,n/a,1.832,154.679,23437.820,6,1666
74750043,RP_060220_05_F03,87020,Zkscan16,zinc finger with KRAB and SCAN domains 16,100041581,4,coronal,n/a,1.826,48.756,12611.574,4,1889
797,RP_040324_01_A05,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.814,84.980,15775.811,6,2020
772,RP_Baylor_102947,18312,Pcp4,Purkinje cell protein 4,18546,16,coronal,n/a,1.806,54.594,10057.223,6,1996
600,RP_040315_01_10,16199,Itih3,"inter-alpha trypsin inhibitor, heavy chain 3",16426,14,coronal,n/a,1.799,37.767,9431.376,4,1797
2234,RP_040526_01_E10,72133,Frs3,fibroblast growth factor receptor substrate 3,107971,17,coronal,n/a,1.784,61.407,11536.211,6,2011
293038,RP_040609_01_F01,42902,Ola1,Obg-like ATPase 1,67059,2,coronal,n/a,1.781,59.611,10566.650,6,1894
70231305,RP_050301_01_C09,13377,Ecel1,endothelin converting enzyme-like 1,13599,1,coronal,n/a,1.775,120.093,18110.975,6,1606
758,RP_Baylor_103330,72315,Ogt,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),108155,X,coronal,n/a,1.774,89.398,17008.855,6,2025
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,1.735,49.177,9574.570,6,2027
73931383,RP_051214_04_D10,36016,Alg2,"asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)",56737,4,coronal,n/a,1.716,29.193,16603.928,2,1952
934,RP_Baylor_103021,20017,Scg2,secretogranin II,20254,1,coronal,n/a,1.714,118.172,23091.010,6,2009
74425515,RP_051214_02_E01,86005,Soat2,sterol O-acyltransferase 2,223920,15,coronal,n/a,1.709,70.174,12055.634,6,1762
777,RP_040315_01_19,29763,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor,30052,X,coronal,n/a,1.706,143.576,28508.311,6,2033
75042240,RP_051219_02_C02,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.706,84.858,16851.326,6,2033
71064176,RP_050725_03_D03,89118,Ppp1r9a,"protein phosphatase 1, regulatory (inhibitor) subunit 9A",243725,6,coronal,n/a,1.695,67.831,13563.116,6,2033
1683,RP_040526_02_C10,12365,Cdkn2c,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",12580,4,coronal,n/a,1.694,112.843,22532.098,6,2029
71924301,RP_050609_04_F09,52858,Col25a1,"collagen, type XXV, alpha 1",77018,3,coronal,n/a,1.687,102.020,20495.699,6,2033
79591729,RP_071218_02_C03,12172,Ctnnb1,"catenin (cadherin associated protein), beta 1",12387,9,coronal,n/a,1.678,148.458,29969.943,6,2033
72119580,RP_051017_04_A03,16297,Kcnj9,"potassium inwardly-rectifying channel, subfamily J, member 9",16524,1,coronal,n/a,1.677,42.435,8573.803,6,2033
1974,RP_Baylor_253926,51267,Igfbpl1,insulin-like growth factor binding protein-like 1,75426,4,coronal,n/a,1.674,125.315,23713.770,6,1901
2137,RP_Baylor_103408,92824,Clip2,CAP-GLY domain containing linker protein 2,269713,5,coronal,n/a,1.669,67.124,13576.111,6,2025
74511818,RP_060220_03_B06,16347,Kif5c,kinesin family member 5C,16574,2,coronal,n/a,1.664,68.329,13911.689,6,2033
2131,RP_Baylor_103327,72224,Cstf2,"cleavage stimulation factor, 3' pre-RNA subunit 2",108062,X,coronal,n/a,1.659,57.838,11790.718,6,2029
74988721,RP_060315_04_A11,44637,Ubr3,ubiquitin protein ligase E3 component n-recognin 3,68795,2,coronal,n/a,1.652,48.546,9950.812,6,2032
73930821,RP_051214_04_C05,157714,Kalrn,"kalirin, RhoGEF kinase",545156,16,coronal,n/a,1.650,44.164,9071.332,6,2033
577,RP_Baylor_253924,15243,Prmt2,protein arginine N-methyltransferase 2,15468,10,coronal,n/a,1.648,88.041,14888.223,6,1672
75749418,RP_060606_03_A02,14583,Grik3,"glutamate receptor, ionotropic, kainate 3",14807,4,coronal,n/a,1.647,55.370,10764.872,6,1921
74819328,RP_060315_02_E04,16750,Lrrn2,"leucine rich repeat protein 2, neuronal",16980,1,coronal,n/a,1.646,51.161,8150.445,6,1573
483,RP_Baylor_102806,14231,Gas5,growth arrest specific 5,14455,1,coronal,n/a,1.638,57.820,11962.976,6,2033
2478,RP_Baylor_103188,32808,Pgrmc1,progesterone receptor membrane component 1,53328,X,coronal,n/a,1.631,166.979,34564.125,6,2026
276272,RP_040609_01_D05,48310,Plcd3,"phospholipase C, delta 3",72469,11,coronal,n/a,1.630,38.857,18891.150,2,1585
71587783,RP_050725_03_F07,17958,Nrxn3,neurexin III,18191,12,coronal,n/a,1.630,112.193,23303.037,6,2031
234,RP_Baylor_102674,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,1.628,48.403,10052.590,6,2029
73512191,RP_050712_01_A04,136032,TC1410973,TIGR MGI TC1410973,0,n/a,coronal,n/a,1.626,139.011,27482.600,6,1929
71924504,RP_050630_03_D11,129674,LOC433088,LOC433088,433088,17,coronal,n/a,1.622,29.516,13144.405,2,1445
2647,RP_040407_02_B10,20686,Supt5h,suppressor of Ty 5 homolog (S. cerevisiae),20924,7,coronal,n/a,1.618,81.018,16951.758,6,2031
