id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
72109295,RP_050706_03_B01,143151,Ptpn3,"protein tyrosine phosphatase, non-receptor type 3",545622,4,coronal,n/a,3.406,942.889,6317.365,85,1940
71924185,RP_050607_01_H05,56653,Ntng1,netrin G1,80883,3,coronal,n/a,2.883,627.779,5208.591,85,2033
72129247,RP_051017_03_E07,18515,Prkcb,"protein kinase C, beta",18751,7,coronal,n/a,2.387,641.982,6223.676,79,1828
293027,RP_040609_01_E01,47894,Tmub2,transmembrane and ubiquitin-like domain containing 2,72053,11,coronal,n/a,2.365,666.950,5820.437,85,1754
2561,RP_Baylor_103207,35235,Sfn,stratifin,55948,4,coronal,n/a,2.216,601.241,6488.863,85,2033
963,RP_040324_01_A03,20475,Serpini1,"serine (or cysteine) peptidase inhibitor, clade I, member 1",20713,3,coronal,n/a,2.137,666.572,7335.563,85,1999
70231306,RP_050301_01_C10,12190,Cbln2,cerebellin 2 precursor protein,12405,18,coronal,n/a,2.112,1004.113,11373.686,85,2033
71016653,RP_050725_03_B02,88708,Slc6a7,"solute carrier family 6 (neurotransmitter transporter, L-proline), member 7",240332,18,coronal,n/a,2.104,676.628,7689.168,85,2032
121089,RP_040428_01_C09,22116,Vldlr,very low density lipoprotein receptor,22359,19,coronal,n/a,2.037,249.033,5809.764,19,903
74511882,RP_051121_04_A03,11303,Adcyap1,adenylate cyclase activating polypeptide 1,11516,17,coronal,n/a,1.988,1103.215,13275.530,85,2033
324214,RP_040617_01_E09,87454,Ccdc136,coiled-coil domain containing 136,232664,6,coronal,n/a,1.929,44.504,6197.492,5,1343
79556662,RP_071204_01_B06,12093,Calb2,calbindin 2,12308,8,coronal,n/a,1.917,1825.309,22768.172,85,2033
72472797,RP_051101_02_F01,13647,Erbb4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),13869,1,coronal,n/a,1.894,668.836,8446.092,85,2033
74641307,RP_060220_05_H03,12647,Cox6c,"cytochrome c oxidase, subunit VIc",12864,15,coronal,n/a,1.839,590.503,8117.320,76,1921
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,1.835,1098.605,13749.449,85,1952
73818754,RP_050921_01_E03,80230,Slc17a6,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6",140919,7,coronal,n/a,1.757,1091.229,14855.193,85,2033
74800915,RP_060315_02_A08,17871,Nqo1,"NAD(P)H dehydrogenase, quinone 1",18104,8,coronal,n/a,1.730,259.808,6031.302,36,1446
72119649,RP_051017_04_B03,12078,Cacna2d1,"calcium channel, voltage-dependent, alpha2/delta subunit 1",12293,5,coronal,n/a,1.709,847.942,11864.989,85,2033
72340233,RP_051101_02_B10,85305,Amph,amphiphysin,218038,13,coronal,n/a,1.701,1043.182,14665.980,85,2033
71016721,RP_050808_02_A09,50595,Dhcr24,24-dehydrocholesterol reductase,74754,4,coronal,n/a,1.696,934.573,13182.492,85,2033
75147760,RP_051206_02_H12,44246,Nrn1,neuritin 1,68404,13,coronal,n/a,1.691,1113.304,13916.354,84,1776
74273122,RP_050927_02_E07,71746,Col16a1,"collagen, type XVI, alpha 1",107581,4,coronal,n/a,1.669,407.623,7029.232,54,1554
70634396,RP_050725_01_F09,16365,Fabp5,"fatty acid binding protein 5, epidermal",16592,3,coronal,n/a,1.655,950.403,13731.086,85,2033
234,RP_Baylor_102674,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,1.640,690.824,10052.590,85,2029
74658055,RP_060220_04_C10,87314,Adap1,ArfGAP with dual PH domains 1,231821,5,coronal,n/a,1.626,741.623,10910.192,85,2033
77866868,RP_070129_01_E11,87964,Ntm,neurotrimin,235106,9,coronal,n/a,1.611,396.049,12665.896,30,1546
72109379,RP_050712_01_B07,74688,Adarb1,"adenosine deaminase, RNA-specific, B1",110532,10,coronal,n/a,1.594,797.190,11848.476,85,2014
690,RP_040315_01_16,29547,Ndrg3,N-myc downstream regulated gene 3,29812,2,coronal,n/a,1.593,639.652,9549.742,85,2021
76115744,RP_060620_02_C12,88236,Slc9a6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",236794,X,coronal,n/a,1.589,682.954,13896.045,53,1714
934,RP_Baylor_103021,20017,Scg2,secretogranin II,20254,1,coronal,n/a,1.570,1533.737,23091.010,85,2009
984,RP_040227_01_05,20378,Snap91,synaptosomal-associated protein 91,20616,9,coronal,n/a,1.563,753.590,11529.437,85,2033
474,RP_040227_01_01,14182,Gabrg2,"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2",14406,11,coronal,n/a,1.557,601.640,9234.134,85,2031
67936005,RP_041018_01_F01,30333,Rnf10,ring finger protein 10,50849,5,coronal,n/a,1.553,659.482,8674.793,76,1553
2173,RP_040507_01_G01,29986,E2f6,E2F transcription factor 6,50496,12,coronal,n/a,1.542,1128.596,17135.016,85,1990
79591579,RP_071204_04_D02,129609,Plcxd2,"phosphatidylinositol-specific phospholipase C, X domain containing 2",433022,16,coronal,n/a,1.541,794.596,12302.332,85,2028
2739,RP_Baylor_103126,22384,Ywhae,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide",22627,11,coronal,n/a,1.539,811.113,13495.575,76,1946
2651,RP_Baylor_103055,20744,Syt4,synaptotagmin IV,20983,18,coronal,n/a,1.538,698.704,10713.657,85,2005
