id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
73732150,RP_051121_04_A08,52726,Fam81a,"family with sequence similarity 81, member A",76886,9,coronal,n/a,6.900,19.838,2834.694,2,1972
71020431,RP_050329_01_C10,14510,Gpc3,glypican 3,14734,X,coronal,n/a,5.853,14.844,2578.086,2,2033
73512193,RP_050712_01_C11,20303,Slc8a1,"solute carrier family 8 (sodium/calcium exchanger), member 1",20541,17,coronal,n/a,5.584,17.236,3137.281,2,2033
75080999,RP_060412_04_H04,12096,Calcr,calcitonin receptor,12311,6,coronal,n/a,5.164,18.128,2810.083,2,1601
70928361,RP_050725_02_D08,81891,Cntnap4,contactin associated protein-like 4,170571,8,coronal,n/a,4.951,15.270,3071.712,2,1992
71670692,RP_050510_02_F10,22533,Zim1,"zinc finger, imprinted 1",22776,7,coronal,n/a,4.943,16.673,3428.712,2,2033
72007749,RP_051017_01_A10,32936,Fut8,fucosyltransferase 8,53618,12,coronal,n/a,4.697,16.399,3549.066,2,2033
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,4.673,42.076,7829.876,2,1739
73788032,RP_051213_01_A07,43248,Nts,neurotensin,67405,10,coronal,n/a,4.361,31.308,7297.173,2,2033
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,4.082,25.258,6290.307,2,2033
79556712,RP_071204_01_D11,40873,Ngb,neuroglobin,64242,12,coronal,n/a,3.742,28.493,7731.395,2,2031
74581395,RP_060117_02_C04,32920,Hpcal1,hippocalcin-like 1,53602,12,coronal,n/a,3.713,26.095,6888.232,2,1960
356861,RP_040617_02_A01,31516,Ppp6r3,"protein phosphatase 6, regulatory subunit 3",52036,19,coronal,n/a,3.527,16.892,4868.741,2,2033
77371813,RP_070116_02_E01,49591,Whrn,whirlin,73750,4,coronal,n/a,3.508,18.554,5302.491,2,2005
74363351,RP_051019_03_C08,37265,Pvrl1,poliovirus receptor-related 1,58235,9,coronal,n/a,3.501,21.287,6180.408,2,2033
73931413,RP_051214_04_E05,18335,Pdcd4,programmed cell death 4,18569,19,coronal,n/a,3.493,22.366,4917.493,2,1536
71249740,RP_050414_04_A03,107813,Mical2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",320878,7,coronal,n/a,3.464,26.867,7883.141,2,2033
79908848,RP_071218_03_E03,20379,Snca,"synuclein, alpha",20617,6,coronal,n/a,3.373,19.924,4988.305,2,1689
73992930,RP_051214_03_C08,57916,Cnnm1,cyclin M1,83674,19,coronal,n/a,3.355,19.157,5805.121,2,2033
71920520,RP_051017_02_H01,13163,Mpp3,"membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3)",13384,11,coronal,n/a,3.311,25.953,7089.561,2,1809
79591573,RP_071204_04_C03,19435,Rcn1,reticulocalbin 1,19672,2,coronal,n/a,3.287,31.043,8877.012,2,1880
73592536,RP_051017_01_E12,37051,Fxyd7,FXYD domain-containing ion transport regulator 7,57780,7,coronal,n/a,3.275,22.437,6850.794,2,2000
71920521,RP_051017_02_H02,73364,Sobp,sine oculis-binding protein homolog (Drosophila),109205,10,coronal,n/a,3.211,32.430,9878.645,2,1956
75774105,RP_060530_01_B01,42091,Alg5,"asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)",66248,3,coronal,n/a,3.125,16.949,4881.832,2,1800
74881134,RP_060220_01_A01,44948,Stoml1,stomatin-like 1,69106,9,coronal,n/a,3.110,17.815,5822.561,2,2033
71064217,RP_050725_03_D06,14361,Gfra1,glial cell line derived neurotrophic factor family receptor alpha 1,14585,19,coronal,n/a,3.091,22.901,7531.652,2,2033
527,RP_Baylor_253919,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,3.003,17.542,5840.986,2,2000
75749783,RP_060518_01_B04,87243,Parm1,prostate androgen-regulated mucin-like protein 1,231440,5,coronal,n/a,2.973,30.515,9616.615,2,1874
75749751,RP_060518_02_E09,14581,Grik1,"glutamate receptor, ionotropic, kainate 1",14805,16,coronal,n/a,2.889,33.287,11096.502,2,1926
77279001,RP_070116_01_A11,21095,Tac2,tachykinin 2,21334,10,coronal,n/a,2.874,14.035,4889.027,2,2002
72007750,RP_051017_01_A11,52368,Il34,interleukin 34,76527,8,coronal,n/a,2.861,14.346,5096.189,2,2033
827,RP_Baylor_103309,60495,Pnck,pregnancy upregulated non-ubiquitously expressed CaM kinase,93843,X,coronal,n/a,2.826,15.829,5670.777,2,2025
74047400,RP_051214_01_G01,49725,Zdbf2,"zinc finger, DBF-type containing 2",73884,1,coronal,n/a,2.801,22.421,7553.509,2,1887
74819247,RP_060315_02_C11,50489,S100pbp,S100P binding protein,74648,4,coronal,n/a,2.721,14.644,4374.859,2,1626
73930821,RP_051214_04_C05,157714,Kalrn,"kalirin, RhoGEF kinase",545156,16,coronal,n/a,2.717,24.247,9071.332,2,2033
665,RP_Baylor_253935,33678,Mcm3ap,minichromosome maintenance deficient 3 (S. cerevisiae) associated protein,54387,10,coronal,n/a,2.665,16.899,6426.611,2,2027
75043158,RP_060412_05_B09,18513,Prkacb,"protein kinase, cAMP dependent, catalytic, beta",18749,3,coronal,n/a,2.660,49.903,19071.107,2,2033
75749418,RP_060606_03_A02,14583,Grik3,"glutamate receptor, ionotropic, kainate 3",14807,4,coronal,n/a,2.658,29.795,10764.872,2,1921
74750043,RP_060220_05_F03,87020,Zkscan16,zinc finger with KRAB and SCAN domains 16,100041581,4,coronal,n/a,2.604,34.773,12611.574,2,1889
70562043,RP_050331_02_C01,14172,Gabra3,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3",14396,X,coronal,n/a,2.591,28.092,10453.742,2,1928
70231305,RP_050301_01_C09,13377,Ecel1,endothelin converting enzyme-like 1,13599,1,coronal,n/a,2.588,58.380,18110.975,2,1606
74047888,RP_051214_02_B07,27627,D16H22S680E,"DNA segment, Chr 16, human D22S680E, expressed",27883,16,coronal,n/a,2.579,24.781,8330.569,2,1734
70560340,RP_050331_01_E04,12082,Cacnb3,"calcium channel, voltage-dependent, beta 3 subunit",12297,15,coronal,n/a,2.568,19.351,7659.062,2,2033
72472769,RP_051101_02_D01,47883,Cotl1,coactosin-like 1 (Dictyostelium),72042,8,coronal,n/a,2.529,21.398,8601.203,2,2033
74586669,RP_051214_01_B09,108965,Ctxn1,cortexin 1,330695,8,coronal,n/a,2.522,44.844,18074.596,2,2033
1098,RP_Baylor_103102,22105,Slc32a1,"solute carrier family 32 (GABA vesicular transporter), member 1",22348,2,coronal,n/a,2.515,14.038,5616.866,2,2013
74988285,RP_060315_05_C09,86417,Ascl5-ps,"achaete-scute complex homolog 5 (Drosophila), pseudogene",226439,1,coronal,n/a,2.512,15.406,3557.845,2,1160
74819329,RP_060315_02_E05,84756,Vezt,"vezatin, adherens junctions transmembrane protein",215008,10,coronal,n/a,2.509,15.816,5335.863,2,1693
77280419,RP_070116_01_E02,87074,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1,230649,4,coronal,n/a,2.459,17.671,7177.750,2,1998
