id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
334,RP_Baylor_102723,12975,Ddc,dopa decarboxylase,13195,11,coronal,n/a,5.309,59.517,2805.578,8,2002
77869854,RP_070212_03_A07,106859,Apba1,"amyloid beta (A4) precursor protein binding, family A, member 1",319924,19,coronal,n/a,5.073,77.318,3309.161,8,1737
74819554,RP_060315_02_G03,16267,Kcna6,"potassium voltage-gated channel, shaker-related, subfamily, member 6",16494,6,coronal,n/a,4.259,20.080,2204.227,2,935
71924353,RP_050614_04_A09,47407,9030425E11Rik,RIKEN cDNA 9030425E11 gene,71566,9,coronal,n/a,2.510,141.415,13749.449,8,1952
1106,RP_Baylor_103157,26695,Vsnl1,visinin-like 1,26950,12,coronal,n/a,2.459,76.175,7872.454,8,2033
74641307,RP_060220_05_H03,12647,Cox6c,"cytochrome c oxidase, subunit VIc",12864,15,coronal,n/a,2.446,82.671,8117.320,8,1921
72129247,RP_051017_03_E07,18515,Prkcb,"protein kinase C, beta",18751,7,coronal,n/a,2.370,48.416,6223.676,6,1828
121089,RP_040428_01_C09,22116,Vldlr,very low density lipoprotein receptor,22359,19,coronal,n/a,2.282,29.366,5809.764,2,903
110,RP_Baylor_102634,11629,Arf3,ADP-ribosylation factor 3,11842,15,coronal,n/a,2.246,61.531,6961.418,8,2033
76135807,RP_060711_03_C03,87555,Rasgrp4,RAS guanyl releasing protein 4,233046,7,coronal,n/a,2.082,57.708,6387.544,8,1844
73521001,RP_051101_02_H08,18245,Pak1,p21 protein (Cdc42/Rac)-activated kinase 1,18479,7,coronal,n/a,1.971,28.869,6860.735,4,1874
75077171,RP_060412_02_E02,26760,Polk,"polymerase (DNA directed), kappa",27015,13,coronal,n/a,1.951,47.079,7495.316,6,1864
71670700,RP_050512_04_F05,47528,Tmem25,transmembrane protein 25,71687,9,coronal,n/a,1.937,59.683,7830.270,8,2033
788,RP_Baylor_253958,84911,Pdxk,"pyridoxal (pyridoxine, vitamin B6) kinase",216134,10,coronal,n/a,1.915,57.765,7664.088,8,2033
74047788,RP_051214_02_A04,26798,Asns,asparagine synthetase,27053,6,coronal,n/a,1.907,66.215,8421.333,8,1940
79556662,RP_071204_01_B06,12093,Calb2,calbindin 2,12308,8,coronal,n/a,1.878,168.271,22768.172,8,2033
276075,RP_040609_01_C07,74235,Pygb,brain glycogen phosphorylase,110078,2,coronal,n/a,1.867,116.053,15798.194,8,2033
72129292,RP_051017_03_F08,33266,Ngef,neuronal guanine nucleotide exchange factor,53972,1,coronal,n/a,1.852,72.900,10003.037,8,2033
1205,RP_040324_01_D01,42935,Gatm,glycine amidinotransferase (L-arginine:glycine amidinotransferase),67092,2,coronal,n/a,1.840,58.352,7994.025,8,2017
71015195,RP_050725_02_G02,47787,Endod1,endonuclease domain containing 1,71946,9,coronal,n/a,1.835,73.063,10116.506,8,2033
73907494,RP_050927_02_E03,20212,St8sia1,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1",20449,6,coronal,n/a,1.792,56.754,7128.583,8,1801
73992931,RP_051214_03_C09,32801,Cntnap1,contactin associated protein-like 1,53321,11,coronal,n/a,1.790,59.557,8410.753,8,2022
72340233,RP_051101_02_B10,85305,Amph,amphiphysin,218038,13,coronal,n/a,1.782,102.830,14665.980,8,2033
356093,RP_040617_02_C09,35328,Akr1e1,"aldo-keto reductase family 1, member E1",56043,13,coronal,n/a,1.761,57.120,8240.979,8,2033
79556628,RP_071101_01_A06,14346,Arhgdig,Rho GDP dissociation inhibitor (GDI) gamma,14570,17,coronal,n/a,1.749,56.542,8209.277,8,2032
74750014,RP_060220_05_E04,56289,A030009H04Rik,RIKEN cDNA A030009H04 gene,80515,11,coronal,n/a,1.748,65.107,9467.003,8,2033
72129291,RP_051017_03_F07,15219,Hpca,hippocalcin,15444,4,coronal,n/a,1.715,164.111,24310.922,8,2033
71587822,RP_050725_03_E10,12076,Cacna1g,"calcium channel, voltage-dependent, T type, alpha 1G subunit",12291,11,coronal,n/a,1.704,95.498,14244.300,8,2033
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,1.702,68.090,10025.902,8,2005
72103819,RP_051017_03_D08,84001,Diras1,"DIRAS family, GTP-binding RAS-like 1",208666,10,coronal,n/a,1.698,61.039,8629.863,8,1921
74658174,RP_060220_02_D02,51592,Ipo4,importin 4,75751,14,coronal,n/a,1.691,75.118,11290.530,8,2033
70436744,RP_050310_02_G11,88897,Slc7a14,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 14",241919,3,coronal,n/a,1.685,69.420,10468.648,8,2033
2737,RP_Baylor_103195,33692,Ywhab,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide",54401,2,coronal,n/a,1.680,81.629,12347.867,8,2033
1158,RP_Baylor_253881,27824,Atp5o,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit",28080,16,coronal,n/a,1.679,78.295,14473.706,6,1862
71016721,RP_050808_02_A09,50595,Dhcr24,24-dehydrocholesterol reductase,74754,4,coronal,n/a,1.668,86.539,13182.492,8,2033
67870085,RP_041018_01_C09,41985,Cox7b,cytochrome c oxidase subunit VIIb,66142,X,coronal,n/a,1.665,159.793,22591.607,8,1883
72129255,RP_051017_03_F03,30274,Hs6st2,heparan sulfate 6-O-sulfotransferase 2,50786,X,coronal,n/a,1.664,83.684,12776.925,8,2033
71016595,RP_050725_03_A05,16537,Stmn1,stathmin 1,16765,4,coronal,n/a,1.658,142.349,21812.518,8,2033
655,RP_Baylor_103140,23688,Lynx1,Ly6/neurotoxin 1,23936,15,coronal,n/a,1.658,82.159,12567.151,8,2029
70634396,RP_050725_01_F09,16365,Fabp5,"fatty acid binding protein 5, epidermal",16592,3,coronal,n/a,1.654,89.396,13731.086,8,2033
74581447,RP_060220_04_H08,37432,Pex5l,peroxisomal biogenesis factor 5-like,58869,3,coronal,n/a,1.654,127.197,19539.568,8,2033
74658055,RP_060220_04_C10,87314,Adap1,ArfGAP with dual PH domains 1,231821,5,coronal,n/a,1.654,71.019,10910.192,8,2033
70231306,RP_050301_01_C10,12190,Cbln2,cerebellin 2 precursor protein,12405,18,coronal,n/a,1.647,73.706,11373.686,8,2033
