id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
131,RP_Baylor_102643,11784,Avp,arginine vasopressin,11998,2,coronal,n/a,9.550,272.841,2396.196,23,1929
79591671,RP_071204_04_G06,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,5.708,338.646,4926.952,23,1910
322962,RP_040609_01_F07,84446,Iffo2,intermediate filament family orphan 2,212632,4,coronal,n/a,4.582,474.549,7829.876,23,1739
1357,RP_Baylor_253913,14356,Gfap,glial fibrillary acidic protein,14580,11,coronal,n/a,4.027,317.607,6926.787,23,2020
71717079,RP_050503_03_A07,16143,Irs4,insulin receptor substrate 4,16370,X,coronal,n/a,3.568,253.904,6290.307,23,2033
890,RP_Baylor_103002,19462,Reln,reelin,19699,5,coronal,n/a,3.173,192.385,5358.599,23,2033
71358616,RP_050725_03_F03,52024,Celf6,"CUGBP, Elav-like family member 6",76183,9,coronal,n/a,2.919,165.595,5013.783,23,2033
383,RP_Baylor_102748,13418,Efna5,ephrin A5,13640,17,coronal,n/a,2.822,189.391,5931.322,23,2033
323588,RP_040609_01_G01,16636,Eif2d,eukaryotic translation initiation factor 2D,16865,1,coronal,n/a,2.620,133.415,5436.127,17,1815
75041431,RP_060412_04_B01,53708,Six3os1,Six3 opposite strand transcript 1,100043902,17,coronal,n/a,2.324,165.652,5786.196,23,1867
74819328,RP_060315_02_E04,16750,Lrrn2,"leucine rich repeat protein 2, neuronal",16980,1,coronal,n/a,2.082,248.093,8150.445,23,1573
906,RP_Baylor_103008,19777,Rpn2,ribophorin II,20014,2,coronal,n/a,2.011,220.788,9686.197,23,2029
74988710,RP_060315_04_A09,14588,Grin2b,"glutamate receptor, ionotropic, NMDA2B (epsilon 2)",14812,6,coronal,n/a,1.861,185.269,7952.493,23,1837
2255,RP_Baylor_102816,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,1.855,213.303,10025.902,23,2005
74583117,RP_051214_02_F01,18030,Odc1,"ornithine decarboxylase, structural 1",18263,12,coronal,n/a,1.835,242.799,11691.342,23,2032
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,1.811,196.745,9574.570,23,2027
71717082,RP_050505_01_C12,17063,Mest,mesoderm specific transcript,17294,6,coronal,n/a,1.801,298.867,14669.654,23,2033
758,RP_Baylor_103330,72315,Ogt,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),108155,X,coronal,n/a,1.794,346.662,17008.855,23,2025
74511884,RP_060117_02_C07,19499,Rgs4,regulator of G-protein signaling 4,19736,1,coronal,n/a,1.771,258.465,12884.404,23,2031
