id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
2693,RP_040420_01_E09,21790,Traf5,TNF receptor-associated factor 5,22033,1,coronal,n/a,2.626,385.897,5531.775,54,2033
1504,RP_040420_01_E06,35214,Hes6,hairy and enhancer of split 6 (Drosophila),55927,1,coronal,n/a,2.209,791.966,13497.463,54,2033
73615805,RP_050818_01_F01,37281,BC100451,cDNA sequence BC100451,58251,11,coronal,n/a,2.084,749.439,13172.053,54,1978
1038,RP_Baylor_103056,21094,Tac1,tachykinin 1,21333,6,coronal,n/a,1.947,379.126,7331.586,54,2033
75042238,RP_051219_02_B02,150036,A530057D15Rik*,RIKEN cDNA A530057D15 gene (non-RefSeq),0,n/a,coronal,n/a,1.591,637.416,15741.030,46,1807
77925023,RP_070320_01_A01,20213,St8sia2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",20450,7,coronal,n/a,1.576,515.483,12105.802,45,1665
71670705,RP_050517_01_D03,35831,Txn2,thioredoxin 2,56551,15,coronal,n/a,1.541,614.990,14607.518,50,1830
71587898,RP_050725_03_G02,43407,Tmem35,transmembrane protein 35,67564,X,coronal,n/a,1.527,467.605,11528.752,54,2033
71717305,RP_050531_01_D10,72919,Galntl1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1,108760,12,coronal,n/a,1.490,534.121,13461.339,54,2028
75749783,RP_060518_01_B04,87243,Parm1,prostate androgen-regulated mucin-like protein 1,231440,5,coronal,n/a,1.437,398.226,9616.615,54,1874
77395095,RP_070129_01_D12,87006,Tmeff1,transmembrane protein with EGF-like and two follistatin-like domains 1,230157,4,coronal,n/a,1.435,411.524,9822.219,54,1849
71924301,RP_050609_04_F09,52858,Col25a1,"collagen, type XXV, alpha 1",77018,3,coronal,n/a,1.423,774.783,20495.699,54,2033
70743867,RP_050725_01_G07,88093,Camkv,CaM kinase-like vesicle-associated,235604,9,coronal,n/a,1.416,772.004,20532.771,54,2033
74511882,RP_051121_04_A03,11303,Adcyap1,adenylate cyclase activating polypeptide 1,11516,17,coronal,n/a,1.400,493.777,13275.530,54,2033
74658089,RP_060220_02_C03,16353,Kifc5b,kinesin family member C5B,16580,17,coronal,n/a,1.389,459.659,17338.879,36,1886
73907497,RP_051214_03_A03,12454,Chrm1,"cholinergic receptor, muscarinic 1, CNS",12669,19,coronal,n/a,1.377,417.914,11136.286,54,1981
79567762,RP_071204_02_A07,49941,Arpp21,"cyclic AMP-regulated phosphoprotein, 21",74100,9,coronal,n/a,1.375,518.088,13080.628,54,1874
74357549,RP_051121_01_D07,81989,Peg10,paternally expressed 10,170676,6,coronal,n/a,1.344,604.783,16503.998,54,1981
79490066,RP_070205_01_C03,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,1.320,354.227,14014.942,33,1723
69153759,RP_050330_01_A03,40644,Nrgn,neurogranin,64011,9,coronal,n/a,1.312,594.034,17049.689,54,2033
2631,RP_040420_01_G07,71678,Ssr1,"signal sequence receptor, alpha",107513,13,coronal,n/a,1.304,472.185,13636.019,54,2033
356490,RP_040617_02_F05,19787,Sub1,SUB1 homolog (S. cerevisiae),20024,15,coronal,n/a,1.292,588.324,12350.358,54,1465
72103854,RP_051017_03_A04,33296,Nell2,NEL-like 2 (chicken),54003,15,coronal,n/a,1.286,895.402,26217.107,54,2033
79591571,RP_071204_04_C02,27130,Magel2,"melanoma antigen, family L, 2",27385,7,coronal,n/a,1.283,460.487,13825.672,44,1695
79591569,RP_071204_04_B11,36525,Gabrq,"gamma-aminobutyric acid (GABA) A receptor, subunit theta",57249,X,coronal,n/a,1.277,301.651,12088.510,37,1894
77869863,RP_070205_01_C03,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,1.270,474.140,13762.905,54,1990
71836872,RP_051017_02_E02,52809,Chst1,carbohydrate (keratan sulfate Gal-6) sulfotransferase 1,76969,2,coronal,n/a,1.259,734.808,21972.818,54,2033
73769322,RP_051121_04_B07,12674,Cpne6,copine VI,12891,14,coronal,n/a,1.254,463.948,13932.546,54,2033
71064176,RP_050725_03_D03,89118,Ppp1r9a,"protein phosphatase 1, regulatory (inhibitor) subunit 9A",243725,6,coronal,n/a,1.251,450.805,13563.116,54,2033
302,RP_Baylor_102709,12736,Cry2,cryptochrome 2 (photolyase-like),12953,2,coronal,n/a,1.233,424.271,12954.108,54,2033
75651167,RP_060518_01_C02,62852,Mfsd6,major facilitator superfamily domain containing 6,98682,1,coronal,n/a,1.230,600.397,17729.777,54,1961
79490122,RP_071018_01_G03,12107,Camk2a,calcium/calmodulin-dependent protein kinase II alpha,12322,18,coronal,n/a,1.218,480.702,14862.019,54,2033
112202838,RP_110421_01_F01,16965,Mbp,myelin basic protein,17196,18,coronal,n/a,1.217,1248.892,37540.195,54,1976
75774667,RP_060530_01_C04,20673,Stxbp2,syntaxin binding protein 2,20911,8,coronal,n/a,1.210,420.736,11736.215,54,1822
79591579,RP_071204_04_D02,129609,Plcxd2,"phosphatidylinositol-specific phospholipase C, X domain containing 2",433022,16,coronal,n/a,1.206,395.078,12302.332,54,2028
